Name	Sweet	Species	Gender	Attribute	Birthday	Media Debut	Voice Actor
Sakuran ( さくらん ? )	Sakuramochi	Brown bear	Female	Magical Red	Unknown	JPS EP 38	Rina Hidaka
Melorina ( メロリーナ ? )	Melonpan	Poodle	Female	Magical Red	Unknown	JPS EP 38	Asuka Ōgame (Sweets Dance Princess)
Eclan ( エクレン ? )	Eclair	Rex rabbit	Female	Magical Red	Unknown	JPS EP 38	Chiwa Saito (Sweets Dance Princess)
Macaronia ( マカロニア ? )	Macaron	Holland Lop	Female	Magical Red	Unknown	JPS EP 38	Miyu Matsuki (Sweets Dance Princess)
DonaDona ( ドナドナ ? )	Donut	Golden hamster	Male	Magical Red	Unknown	JPS EP 38	Saki Fujita (Sweets Dance Princess)
Honey ( ハニー ? )	Honey Waffles	Flying Squirrel	Female	Magical Red	Unknown	JPS EP 38	Megumi Mukai (Sweets Dance Princess)
Purinki ( プリンキー ? )	Crème caramel	Common squirrel monkey	Female	Magical Green	Unknown	JPS EP 38	Mana Matsufuji (Sweets Dance Princess)
Chocolat ( ショコラ ? )	Chocolate Ice Cream	Asian black bear	Female	Magical Red	Unknown	JPS EP 38	Marie Miyake (Sweets Dance Princess)
Maco ( マコ ? )	Macaron	Roborovski hamster	Female	Magical Red	Unknown	JPS EP 38	MAKO
Kaco ( カコ ? )	Macaron	Roborovski hamster	Male	Magical Green	Unknown	JPS EP 38	Asuka Ōgame
Roco ( ロコ ? )	Macaron	Roborovski hamster	Female	Magical Red	Unknown	JPS EP 38	Marie Miyake
Coron ( コロン ? )	Macaron	Roborovski hamster	Male	Magical Red	Unknown	JPS EP 38	Saki Fujita
