Race Name	Circuit	City/Location	Date	Pole position	Winning driver	Winning team	Report
Checker 200	Phoenix International Raceway	Phoenix, Arizona	April 10	Rick Mears	Mario Andretti	Newman/Haas Racing	Report
Long Beach Grand Prix	Streets of Long Beach	Long Beach, California	April 17	Danny Sullivan	Al Unser, Jr.	Galles Racing	Report
72nd Indianapolis 500	Indianapolis Motor Speedway	Speedway, Indiana	May 29	Rick Mears	Rick Mears	Team Penske	Report
Dana-Rex Mays 200	Milwaukee Mile	West Allis, Wisconsin	June 5	Michael Andretti	Rick Mears	Team Penske	Report
Budweiser/G. I. Joe's 200	Portland International Raceway	Portland, Oregon	June 19	Danny Sullivan	Danny Sullivan	Team Penske	Report
Cleveland Grand Prix	Cleveland Burke Lakefront Airport	Cleveland, Ohio	July 3	Danny Sullivan	Mario Andretti	Newman/Haas Racing	Report
Molson Indy Toronto	Exhibition Place	Toronto, Ontario	July 17	Danny Sullivan	Al Unser, Jr.	Galles Racing	Report
Meadowlands Grand Prix	Meadowlands Sports Complex	East Rutherford, New Jersey	July 24	Emerson Fittipaldi	Al Unser, Jr.	Galles Racing	Report
Marlboro 500	Michigan International Speedway	Brooklyn, Michigan	August 7	Rick Mears	Danny Sullivan	Team Penske	Report
Quaker State 500	Pocono Raceway	Long Pond, Pennsylvania	August 21	Rick Mears	Bobby Rahal	Truesports	Report
Escort Radar Warning 200	Mid-Ohio Sports Car Course	Lexington, Ohio	September 4	Danny Sullivan	Emerson Fittipaldi	Patrick Racing	Report
Race for Life 200	Road America	Elkhart Lake, Wisconsin	September 11	Danny Sullivan	Emerson Fittipaldi	Patrick Racing	Report
Bosch Spark Plug Grand Prix	Nazareth Speedway	Nazareth, Pennsylvania	September 25	Danny Sullivan	Danny Sullivan	Team Penske	Report
Champion Spark Plug 300	Mazda Raceway Laguna Seca	Monterey, California	October 16	Danny Sullivan	Danny Sullivan	Team Penske	Report
Marlboro Challenge	Tamiami Park	University Park, Florida	November 5	Danny Sullivan	Michael Andretti	Kraco Racing	Report
Miami Indy Challenge	Tamiami Park	University Park, Florida	November 6	Danny Sullivan	Al Unser, Jr.	Galles Racing	Report
