Stadium	Capacity	City	Province	Home team(s)
Monumental Antonio V. Liberti	67,664	Buenos Aires	( autonomous city )	River Plate and Argentina
Mario Alberto Kempes	57,878	Córdoba	Córdoba	–
Ciudad de La Plata	53,000	La Plata	Buenos Aires	Estudiantes (LP)
Presidente Juan Domingo Perón	51,389	Avellaneda	Buenos Aires	Racing Club
José Amalfitani	49,540	Buenos Aires	( autonomous city )	Vélez Sársfield
Alberto J. Armando	49,000	Buenos Aires	( autonomous city )	Boca Juniors
Tomás Adolfo Ducó	48,314	Buenos Aires	( autonomous city )	Huracán
Ciudad de Lanús	47,027	Lanús	Buenos Aires	Lanús
Libertadores de América	44,000	Avellaneda	Buenos Aires	Independiente
Pedro Bidegain	43,963	Buenos Aires	( autonomous city )	San Lorenzo
José María Minella	43,542	Mar del Plata	Buenos Aires	Aldosivi
Gigante de Arroyito	41,654	Rosario	Santa Fe	Rosario Central
Malvinas Argentinas	40,268	Mendoza	Mendoza	Godoy Cruz
Brigadier General Estanislao López	40,000	Santa Fe	Santa Fe	Colón
Marcelo Bielsa	38,095	Rosario	Santa Fe	Newell's Old Boys
Eduardo Gallardón	36,542	Lomas de Zamora	Buenos Aires	Los Andes
Presidente Perón	35,535	Córdoba	Córdoba	Instituto
Florencio Sola	34,901	Banfield	Buenos Aires	Banfield
Ciudad de Vicente López	33,051	Vicente López	Buenos Aires	Platense
Centenario José Luis Meiszner	33,000	Quilmes	Buenos Aires	Quilmes
Monumental José Fierro	32,700	San Miguel de Tucumán	Tucumán	Atlético Tucumán
Nueva España	32,500	Buenos Aires	( autonomous city )	Deportivo Español
Coliseo de Victoria	32,100	Victoria	Buenos Aires	Tigre
Nueva Chicago	29,000	Buenos Aires	( autonomous city )	Nueva Chicago
23 de Agosto	29,000	San Salvador de Jujuy	Jujuy	Gimnasia y Esgrima (J)
Gigante de Alberdi	28,000	Córdoba	Córdoba	Belgrano
La Ciudadela	25,622	San Miguel de Tucumán	Tucumán	San Martín (T)
Bicentenario	25,286	San Juan	San Juan	San Martín (SJ)
Centenario	25,000	Resistencia	Chaco	Sarmiento
Chacarita Juniors	24,800	Villa Maipú	Buenos Aires	Chacarita Juniors
Juan Carmelo Zerillo	24,544	La Plata	Buenos Aires	Gimnasia y Esgrima (LP)
Don León Kolbowsky	24,500	Buenos Aires	( autonomous city )	Atlanta
Diego Armando Maradona	24,380	Buenos Aires	( autonomous city )	Argentinos Juniors
Arq. Ricardo Etcheverry	24,268	Buenos Aires	( autonomous city )	Ferro Carril Oeste
Gigante del Norte	24,300	Salta	Salta	Gimnasia y Tiro
Jorge Luis Hirschi	23,000	La Plata	Buenos Aires	Estudiantes (LP)
15 de Abril	22,500	Santa Fe	Santa Fe	Unión (SF)
Presbítero Bartolomé Grella	22,000	Paraná	Entre Ríos	Patronato
Eva Perón	22,000	Junín	Buenos Aires	Sarmiento (J)
Estadio Islas Malvinas	21,500	Buenos Aires	( autonomous city )	All Boys
Miguel Ángel Sancho	21,000	Córdoba	Córdoba	Racing (C)
Feliciano Gambarte	21,000	Mendoza	Mendoza	Godoy Cruz
Padre Ernesto Martearena	20,408	Salta	Salta	Central Norte and Juventud Antoniana
Estadio Fragata Presidente Sarmiento	20,000	Isidro Casanova	Buenos Aires	Almirante Brown
