Position	Jersey #	Name	Height (cm)	Weight (kg)	Birthdate	Birthplace	1983–1984 Team
G	31	Tom Barrasso	190	95	March 31, 1965	Boston, Massachusetts	Buffalo Sabres
G	1	Glenn Resch	175	88	July 10, 1948	Moose Jaw, Saskatchewan , Canada	New Jersey Devils
D	21	Chris Chelios	185	86	January 25, 1962	Evergreen Park, Illinois	Montreal Canadiens
D	2	Mark Fusco	175	82	March 12, 1961	Woburn, Massachusetts	Hartford Whalers
D	22	Tom Hirsch	193	95	January 27, 1963	Minneapolis, Minnesota	Minnesota North Stars
D	4	Phil Housley	178	84	September 3, 1964	South St. Paul, Minnesota	Buffalo Sabres
D	5	Rod Langway	191	99	May 3, 1957	Taipei, Taiwan , Republic of China	Washington Capitals
D	3	Mike Ramsey	191	86	December 18, 1960	Minneapolis, Minnesota	Buffalo Sabres
D	10	Gordie Roberts	183	88	October 2, 1957	Detroit, Michigan	Minnesota North Stars
F	23	Aaron Broten	178	79	November 14, 1960	Roseau, Minnesota	New Jersey Devils
LW	98	Brian Lawton	183	82	June 29, 1965	New Brunswick, New Jersey	Minnesota North Stars
LW	20	Brian Mullen	178	82	March 16, 1962	New York	Winnipeg Jets
C	13	Bob Brooke	188	94	December 18, 1960	Melrose, Massachusetts	New York Rangers
C	8	Neal Broten	175	70	November, 29 1959	Roseau, Minnesota	Minnesota North Stars
C	9	Bob Carpenter	183	91	July 13, 1963	Beverly, Massachusetts	Washington Capitals
C	11	Ed Olczyk	185	89	August, 16 1966	Chicago	Stratford Cullitons ( GOJHL )
C	19	Bryan Trottier	180	81	July 17, 1956	Val Marie, Saskatchewan , Canada	New York Islanders
RW	27	Dave Christian	180	77	May, 12 1959	Warroad, Minnesota	Washington Capitals
RW	24	Bryan Erickson	175	77	March 7, 1960	Roseau, Minnesota	Washington Capitals
RW	25	David A. Jensen	185	79	August 19, 1965	Newton, Massachusetts	Belmont Hill Academy ( ISL )
RW	15	Joe Mullen	178	83	February 26, 1957	New York	St. Louis Blues
