State ranked in partisan order	Percentage Republicans	Percentage Democrats	Republican/ Democratic	Republican seat plurality
Oklahoma	100%	0%	5/0	5
Arkansas	100%	0%	4/0	4
Kansas	100%	0%	4/0	4
Nebraska	100%	0%	3/0	3
Idaho	100%	0%	2/0	2
Alaska	100%	0%	1/0	1
Montana	100%	0%	1/0	1
North Dakota	100%	0%	1/0	1
South Dakota	100%	0%	1/0	1
Wyoming	100%	0%	1/0	1
Alabama	86%	14%	6/1	5
Kentucky	83%	17%	5/1	4
Louisiana	83%	17%	5/1	4
Indiana	78%	22%	7/2	5
Tennessee	78%	22%	7/2	5
Ohio	75%	25%	12/4	8
Missouri	75%	25%	6/2	4
Mississippi	75%	25%	3/1	2
Utah	75%	25%	3/1	2
Virginia	73%	27%	8/3	5
Pennsylvania	72%	28%	13/5	8
South Carolina	71%	14%	5/1	4
North Carolina	69%	31%	9/4	5
Texas	67%	33%	24/12	12
West Virginia	67%	33%	2/1	1
Georgia	64%	36%	9/5	4
Michigan	64%	36%	9/5	4
Florida	63%	37%	17/10	7
Wisconsin	63%	38%	5/3	2
Colorado	57%	43%	4/3	1
United States	54%	46%	233/200	33
Iowa	50%	50%	2/2	0
Nevada	50%	50%	2/2	0
New Jersey	50%	50%	6/6	0
Arizona	44%	56%	4/5	-1
Washington	40%	60%	4/6	-2
Minnesota	38%	63%	3/5	-2
New Mexico	33%	67%	1/2	-1
Illinois	33%	61%	6/11	-5
California	28%	72%	15/38	-23
New York	22%	78%	6/21	-15
Oregon	20%	80%	1/4	-3
Maryland	13%	88%	1/7	-6
Delaware	0%	100%	0/1	-1
Vermont	0%	100%	0/1	-1
Hawaii	0%	100%	0/2	-2
Maine	0%	100%	0/2	-2
New Hampshire	0%	100%	0/2	-2
Rhode Island	0%	100%	0/2	-2
Connecticut	0%	100%	0/5	-5
Massachusetts	0%	100%	0/9	-9
State ranked in partisan order	Percentage Democrats	Percentage Republicans	Democratic/ Republican	Democratic seat plurality
