#	Minnesota River Conference	Records	Pct.	MRC Championships	Solo	Co-Champions	State Champions
1	Tri-City United Titans (2012–Present)	11-3-0	.786	1	0	1	0
2	Le Sueur Giants (1959-1989)	152-58-6	.718	10	5	5	0
3	Holy Family Catholic School Fire (2003-2010)	40-16-0	.714	1	1	0	0
4	Le Sueur-Henderson Giants (1990–Present)	115-53-0	.685	8	6	2	0
5	Watertown-Mayer Royals (2011–Present)	14-7-0	.667	1	0	1	0
6	Le Center Wildcats (1959-2002)	201-102-4	.661	9	6	3	1
7	New Prague Trojans (1959-1978)	88-45-6	.655	6	4	2	2
9	Mayer Lutheran Crusaders (2002–Present)	43-41-0	.512	1	0	1	0
10	Sibley East Wolverines (1990–Present)	86-82-0	.512	3	1	2	0
11	Belle Plaine Tigers (1959–Present)	192-189-3	.504	10	6	4	0
12	Sibley East Bengals (1986-1989)	13-15-0	.464	0	0	0	0
13	Jordan Hubmen (1959–Present)	154-227-2	.404	5	2	3	1
14	Montgomery-Lonsdale Redbirds (1959-2011)	142-226-1	.386	6	4	2	0
