Date	Category	Team	Rider 1	Rider 2
2004	Men	Focus/Rocky Mountain	Mannie Heymans	Karl Platt
2004	Ladies	Yellow Jacket	Hanlie Booyens	Sharon Laws
2004	Mixed	HAI-Bike / Scott	Kirsten Rösel	Robert Eder
2004	Masters	Bowmans - Giant	Frank Soll	Duncan English
2005	Men	Giant	Roel Paulissen	Bart Brentjens
2005	Ladies	Fiat/Bianchi/Adidas	Zoe Frost	Hannele Steyn-Kotze
2005	Mixed	Team Microsoft	Nic White	Anke Erlank
2005	Masters	Getaway/Mongoos	Friedrich Coleske	Doug Brown
2006	Men	Specialized	Christoph Sauser	Silvio Bundi
2006	Ladies	adidas-Fiat-Rotwild	Sabine Grona	Kerstin Brachtendorf
2006	Mixed	radys.com	Dolores Maechler	Severin Rupp
2006	Masters	ABSA BUSINESS BANKING SERVICES I	Linus van Onselen	Geddan Ruddock
2007	Men	Team Bulls	Karl Platt	Stefan Sahm
2007	Ladies	DURAVIT	Anke Erlank	Yolandè De Villiers
2007	Mixed	IMC/Mongoose	Yolande Speedy	Paul Cordes
2007	Masters	Cycle lab	Andrew Mclean	Damian Booth
2008	Men	Cannondale Vredestein	Roel Paulissen	Jakob Fuglsang
2008	Ladies	Rocky Mountain	Pia Sundstedt	Alison Sydor
2008	Mixed	Joybike guided by VMT and Maloja	Ivonne Kraft	Nico Pfitzenmaier
2008	Masters	ABSA Masters	Doug Brown	Barti Bucher
2009	Men	Bulls	Karl Platt	Stefan Sahm
2009	Ladies	Absa Ladies	Sharon Laws	Hanlie Booyens
2009	Mixed	adidas Big Tree	Nico Pfitzenmaier	Alison Sydor
2009	Masters	Absa Masters	Doug Brown	Bärti Bucher
2010	Men	Bulls 1	Karl Platt	Stefan Sahm
2010	Ladies	Rothaus-CUBE	Kristine Noergaard	Anna-sofie Noergaard
2010	Mixed	MTN Business Quebeka	Yolande Speedy	Paul Cordes
2010	Masters	Cyclelab Toyta	Shan Wilson	Andrew Mclean
2011	Men	36ONE-SONGO-SPECIALIZED	Christoph Sauser	Burry Stander
2011	Ladies	USN	Sally Bigham	Karien van Jaarsveld
2011	Mixed	Wheeler BiXS	Barti Bucher	Esther Süss
2011	Masters	Juwi	Carsten Bresser	Udo Boelts
2012	Men	36ONE-SONGO-SPECIALIZED	Christoph Sauser	Burry Stander
2012	Ladies	Wheels4Life	Sally Bigham	Esther Süss
2012	Mixed	Contego 28E	Erik Kleinhans	Ariane Kleinhans
2012	Masters	World Bicycle Relief	Bart Brentjens	Jan Weevers
2013	Men	Burry Stander - SONGO	Christoph Sauser	Jaroslav Kulhavy
2013	Ladies	Energas	Yolande Speedy	Catherine Williamson
2013	Mixed	RE:CM	Erik Kleinhans	Ariane Kleinhans
2013	Masters	Bridge	Nico Pfitzenmaier	Abraao Azevedo
2013	Grand Masters	Songo.info	Bärti Bucher	Heinz Zoerweg
