Game	March	Opponent	Score	Record
65	1	Toronto Maple Leafs	7 - 4	34-23-8
66	3	@ New Jersey Devils	6 - 3	34-24-8
67	5	Boston Bruins	5 - 0	34-25-8
68	8	Buffalo Sabres	2 - 0	34-26-8
69	9	@ Detroit Red Wings	3 - 2	34-27-8
70	11	@ Washington Capitals	4 - 2	34-28-8
71	13	Calgary Flames	4 - 3	35-28-8
72	15	Winnipeg Jets	6 - 3	35-29-8
73	18	@ Quebec Nordiques	8 - 3	35-30-8
74	20	St. Louis Blues	7 - 4	36-30-8
75	22	Minnesota North Stars	3 - 1	37-30-8
76	25	@ Philadelphia Flyers	6 - 1	37-31-8
77	26	Pittsburgh Penguins	6 - 4	37-32-8
78	29	@ Detroit Red Wings	4 - 3	37-33-8
