Week	Date	Opponent	Result	Attendance
1	September 9, 1990	at Washington Redskins	L 31-0	52,649
2	September 16, 1990	at Philadelphia Eagles	W 23-21	64,396
3	September 23, 1990	at New Orleans Saints	L 28-7	61,110
4	September 30, 1990	Washington Redskins	L 38-10	49,303
5	Bye	Bye	Bye	Bye
6	October 14, 1990	Dallas Cowboys	W 20-3	45,235
7	October 21, 1990	at New York Giants	L 20-19	76,518
8	October 28, 1990	Chicago Bears	L 31-21	71,233
9	November 4, 1990	at Miami Dolphins	L 23-3	54,294
10	November 11, 1990	at Buffalo Bills	L 45-14	74,904
11	November 18, 1990	Green Bay Packers	L 24-21	46,878
12	November 25, 1990	New England Patriots	W 34-14	30,110
13	December 2, 1990	Indianapolis Colts	W 20-17	31,885
14	December 9, 1990	at Atlanta Falcons	W 24-13	36,222
15	December 16, 1990	at Dallas Cowboys	L 41-10	60,190
16	December 23, 1990	New York Giants	L 24-21	41,212
17	December 29, 1990	Philadelphia Eagles	L 23-21	31,796
