Month	Avg High	Avg Low	Mean Avg	Precip	Record High	Record Low
Jan	46°F	35°F	41°F	4.49 in.	64°F (2005)	18°F (1996)
Feb	50°F	36°F	43°F	3.67 in.	66°F (1992)	19°F (2006)
Mar	54°F	38°F	46°F	3.84 in.	78°F (2004)	28°F (2006)
Apr	58°F	42°F	50°F	2.84 in.	83°F (1987)	32°F (1991)
May	65°F	47°F	56°F	2.10 in.	89°F (2005)	35°F (2002)
Jun	69°F	52°F	61°F	1.68 in.	92°F (2002)	42°F (1991)
Jul	75°F	55°F	65°F	0.97 in.	103°F (2009)	48°F (2002)
Aug	76°F	57°F	66°F	0.97 in.	93°F (1990)	47°F (2000)
Sep	71°F	52°F	62°F	1.71 in.	93°F (1988)	42°F (2000)
Oct	60°F	46°F	53°F	3.32 in.	87°F (1987)	29°F (1991)
Nov	52°F	40°F	46°F	4.92 in.	66°F (1997)	20°F (2006)
