Season	Match	Result	League	Date
1929-30	Roma-Napoli	2–2	Serie A	10 November 1929
1929–30	Napoli-Roma	1–1	Serie A	13 April 1930
1930–31	Roma-Napoli	3–1	Serie A	19 October 1930
1930–31	Napoli-Roma	3–0	Serie A	8 March 1931
1931–32	Roma-Napoli	1–0	Serie A	29 November 1931
1931–32	Napoli-Roma	1–0	Serie A	24 April 1932
1932–33	Napoli-Roma	1–2	Serie A	18 December 1932
1932–33	Roma-Napoli	1–1	Serie A	25 May 1933
1933–34	Napoli-Roma	1–2	Serie A	19 November 1933
1933–34	Roma-Napoli	1–2	Serie A	8 April 1934
1934–35	Napoli-Roma	3–2	Serie A	7 October 1934
1934–35	Roma-Napoli	4–0	Serie A	3 March 1935
1935–36	Roma-Napoli	1–0	Serie A	6 October 1935
1935–36	Napoli-Roma	1–2	Serie A	9 February 1936
1936–37	Napoli-Roma	0–0	Serie A	13 September 1936
1936–37	Roma-Napoli	1–0	Serie A	17 January 1937
1937–38	Roma-Napoli	2–1	Serie A	26 September 1937
1937–38	Napoli-Roma	2–2	Serie A	30 January 1938
1938–39	Roma-Napoli	2–2	Serie A	13 November 1938
1938–39	Napoli-Roma	1–0	Serie A	19 March 1939
1939–40	Napoli-Roma	0–1	Serie A	8 October 1939
1939–40	Roma-Napoli	1–0	Serie A	11 February 1940
1940–41	Napoli-Roma	2–1	Serie A	22 December 1940
1940–41	Roma-Napoli	2–2	Serie A	6 April 1941
1941–42	Roma-Napoli	5–1	Serie A	26 October 1941
1941–42	Napoli-Roma	1–1	Serie A	15 February 1942
1945–46	Napoli-Roma	2–1	Serie A	26 May 1946
1945–46	Roma-Napoli	2–0	Serie A	14 July 1946
1946–47	Roma-Napoli	0–0	Serie A	19 January 1947
1946–47	Napoli-Roma	0–3	Serie A	22 June 1947
1947–48	Napoli-Roma	1–2	Serie A	21 December 1947
1947–48	Roma-Napoli	1–0	Serie A	9 May 1948
1950–51	Roma-Napoli	0–0	Serie A	19 November 1950
1950–51	Napoli-Roma	0–0	Serie A	1 April 1951
1952–53	Roma-Napoli	5–2	Serie A	4 January 1953
1952–53	Napoli-Roma	0–0	Serie A	10 May 1953
1953–54	Roma-Napoli	0–0	Serie A	27 December 1953
1953–54	Napoli-Roma	1–0	Serie A	9 May 1954
1954–55	Roma-Napoli	0–0	Serie A	24 October 1954
1954–55	Napoli-Roma	2–0	Serie A	13 March 1955
1955–56	Napoli-Roma	1–1	Serie A	23 October 1955
1955–56	Roma-Napoli	2–1	Serie A	18 March 1956
1956–57	Roma-Napoli	1–3	Serie A	30 December 1956
1956–57	Napoli-Roma	1–2	Serie A	13 March 1957
1957–58	Napoli-Roma	0–0	Serie A	17 November 1957
1957–58	Roma-Napoli	0–2	Serie A	13 April 1958
1958–59	Napoli-Roma	3–0	Serie A	16 November 1958
1958–59	Roma-Napoli	8–0	Serie A	29 March 1959
1959–60	Roma-Napoli	3–0	Serie A	24 January 1960
1959–60	Napoli-Roma	1–0	Serie A	29 May 1960
1960–61	Napoli-Roma	3–2	Serie A	23 October 1960
1960–61	Roma-Napoli	2–0	Serie A	5 March 1961
1962–63	Roma-Napoli	3–0	Serie A	16 September 1962
1962–63	Napoli-Roma	3–3	Serie A	20 January 1963
1965–66	Roma-Napoli	0–0	Serie A	24 October 1965
1965–66	Napoli-Roma	1–0	Serie A	13 March 1966
1966–67	Roma-Napoli	0–2	Serie A	2 October 1966
1966–67	Napoli-Roma	2–0	Serie A	12 February 1967
1967–68	Roma-Napoli	2–1	Serie A	1 October 1967
1967–68	Napoli-Roma	2–0	Serie A	28 January 1968
1968–69	Napoli-Roma	0–0	Serie A	27 October 1968
1968–69	Roma-Napoli	0–0	Serie A	23 February 1969
1969–70	Napoli-Roma	0–0	Serie A	12 October 1969
1969-70	Roma-Napoli	2–1	Serie A	8 February 1970
1970–71	Roma-Napoli	2–2	Serie A	3 January 1971
1970–71	Napoli-Roma	1–2	Serie A	25 April 1971
