Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Kirkby Town	34	7	3	85	30	+55	55
2	Rossendale United	34	8	6	81	36	+45	48
3	Wren Rovers	34	8	8	60	46	+14	44
4	Warrington Town	34	9	8	62	48	+14	43
5	Colwyn Bay	34	8	9	74	53	+21	42
6	Chadderton	34	12	7	66	48	+18	42
7	Colne Dynamoes	34	9	10	59	43	+16	39
8	Great Harwood Town	34	10	11	38	45	−7	36
9	Skelmersdale United	34	5	15	58	53	+5	33
10	Droylsden	34	7	14	48	56	−8	33
11	Atherton Laburnum Rovers	34	6	16	49	61	−12	30
12	Lancaster City	34	9	15	57	66	−9	29
13	Ellesmere Port & Neston	34	9	16	45	61	−16	27
14	Ashton United	34	5	18	46	64	−18	26 2
15	Darwen	34	8	18	48	57	−9	24
16	Salford	34	4	21	38	72	−34	22
17	Ford Motors	34	10	19	36	64	−28	20
18	Nantwich Town	34	8	21	31	78	−47	18
