Game	October	Opponent	Score	Record
1	6	Minnesota North Stars	6 - 5	1-0-0
2	8	@ Colorado Rockies	5 - 3	2-0-0
3	9	@ St. Louis Blues	2 - 1	2-1-0
4	12	@ Minnesota North Stars	10 - 4	3-1-0
5	13	Boston Bruins	5 - 1	3-2-0
6	16	@ Montreal Canadiens	7 - 4	3-3-0
7	17	Colorado Rockies	4 - 3	4-3-0
8	20	Los Angeles Kings	4 - 2	4-4-0
9	24	Vancouver Canucks	5 - 4	4-5-0
10	26	@ Cleveland Barons	5 - 2	5-5-0
11	27	Boston Bruins	4 - 3	5-6-0
12	30	@ Pittsburgh Penguins	2 - 2	5-6-1
13	31	Detroit Red Wings	6 - 5	5-7-1
