Rank	Country	Constructor	Wins	Active	First win	Last win
1	ITA	Ferrari	221	1950 –	1951 British Grand Prix	2013 Spanish Grand Prix
2	GBR	McLaren	182	1966 –	1968 Belgian Grand Prix	2012 Brazilian Grand Prix
3	GBR	Williams	114	1975 –	1979 British Grand Prix	2012 Spanish Grand Prix
4	GBR	Team Lotus	79	1958 – 1994	1960 Monaco Grand Prix	1987 Detroit Grand Prix
5	AUT	Red Bull	44	2005 –	2009 Chinese Grand Prix	2013 Japanese Grand Prix
6	GBR	Brabham	35	1962 – 1992	1964 French Grand Prix	1985 French Grand Prix
6	FRA	Renault	35	1977 – 1985 2002 – 2011	1979 French Grand Prix	2008 Japanese Grand Prix
8	GBR ITA [A ]	Benetton	27	1986 – 2001	1986 Mexican Grand Prix	1997 German Grand Prix
9	GBR	Tyrrell	23	1970 – 1998	1971 Spanish Grand Prix	1983 Detroit Grand Prix
10	GBR	BRM	17	1951 1956 – 1977	1959 Dutch Grand Prix	1972 Monaco Grand Prix
11	GBR	Cooper	16	1950 1952 – 1969	1958 Argentine Grand Prix	1967 South African Grand Prix
12	GER	Mercedes	13	1954 – 1955 2010 –	1954 French Grand Prix	2013 Hungarian Grand Prix
13	ITA	Alfa Romeo	10	1950 – 1951 1963 – 1965 1979 – 1985	1950 British Grand Prix	1951 Spanish Grand Prix
14	ITA	Maserati	9	1950 – 1960	1953 Italian Grand Prix	1957 German Grand Prix
14	GBR	Vanwall	9	1954 – 1960	1957 British Grand Prix	1958 Moroccan Grand Prix
14	FRA	Matra	9	1967 – 1972	1968 Dutch Grand Prix	1969 Italian Grand Prix
14	FRA	Ligier	9	1976 – 1996	1977 Swedish Grand Prix	1996 Monaco Grand Prix
18	GBR	Brawn	8	2009	2009 Australian Grand Prix	2009 Italian Grand Prix
19	USA	Kurtis Kraft	5	1950 – 1960	1950 Indianapolis 500	1955 Indianapolis 500
20	IRL	Jordan	4	1991 – 2005	1998 Belgian Grand Prix	2003 Brazilian Grand Prix
21	USA	Watson	3	1950 – 1953 1956 – 1960	1956 Indianapolis 500	1960 Indianapolis 500
21	GBR	March	3	1970 – 1977 1981 – 1982 1987 – 1989 1992	1970 Spanish Grand Prix	1976 Italian Grand Prix
21	GBR	Wolf	3	1977 – 1979	1977 Argentine Grand Prix	1977 Canadian Grand Prix
21	JPN	Honda	3	1964 – 1968 2006 – 2008	1965 Mexican Grand Prix	2006 Hungarian Grand Prix
25	USA	Epperly	2	1957 – 1960	1957 Indianapolis 500	1958 Indianapolis 500
25	GBR	Lotus	2	2012 –	2012 Abu Dhabi Grand Prix	2013 Australian Grand Prix
27	USA	Kuzma	1	1951 – 1960	1952 Indianapolis 500	1952 Indianapolis 500
27	GER	Porsche	1	1957 – 1964	1962 French Grand Prix	1962 French Grand Prix
27	USA	Eagle	1	1966 – 1969	1967 Belgian Grand Prix	1967 Belgian Grand Prix
27	GBR	Hesketh	1	1974 – 1978	1975 Dutch Grand Prix	1975 Dutch Grand Prix
27	USA	Penske	1	1974 – 1977	1976 Austrian Grand Prix	1976 Austrian Grand Prix
27	GBR [E ]	Shadow	1	1973 – 1980	1977 Austrian Grand Prix	1977 Austrian Grand Prix
27	GBR	Stewart	1	1997 – 1999	1999 European Grand Prix	1999 European Grand Prix
27	GER	BMW Sauber	1	2006 – 2009	2008 Canadian Grand Prix	2008 Canadian Grand Prix
27	ITA	Toro Rosso	1	2006 –	2008 Italian Grand Prix	2008 Italian Grand Prix
