Date	Opponent	Score	Loss	Attendance	Record
September 1	Angels	8 - 1	Washburn (0-3)	43,399	82-50
September 2	Angels	6 - 5	Sparks (5-11)	43,369	83-50
September 3	@ Orioles	7 - 6	Reyes (0-3)	41,521	84-50
September 4	@ Orioles	3 - 1	Colón (15-5)	47,095	84-51
September 5	@ Orioles	15 - 7	Ponson (11-11)	44,214	85-51
September 6	@ Orioles	7 - 6	Johns (4-3)	40,540	86-51
September 7	@ Rangers	4 - 3	Reed (3-2)	26,011	86-52
September 8	@ Rangers	3 - 0	Haney (0-2)	29,889	86-53
September 10	@ White Sox	14 - 6	Wells (2-1)	19,132	87-53
September 11	@ White Sox	4 - 3	Parque (9-13)	34,400	88-53
September 12	@ White Sox	4 - 3	Wright (7-8)	20,481	88-54
September 13	Red Sox	11 - 7	Wakefield (5-10)	43,264	89-54
September 14	Red Sox	12 - 3	Gooden (3-4)	43,203	89-55
September 15	Red Sox	6 - 4 (13)	Brower (1-1)	43,224	89-56
September 16	Yankees	9 - 5	Burba (14-8)	43,054	89-57
September 17	Yankees	9 - 4	Wright (7-9)	43,029	89-58
September 18	Yankees	5 - 4	Hernandez (16-9)	43,002	90-58
September 19	Yankees	11 - 7	Martin (0-1)	42,969	90-59
September 20	@ Tigers	4 - 3 (10)	Riske (1-1)	26,106	90-60
September 21	@ Tigers	6 - 1	Borkowski (1-5)	24,155	91-60
September 22	@ Tigers	9 - 1	Moehler (9-16)	27,355	92-60
September 23	@ Tigers	7 - 5	Nagy (17-10)	34,970	92-61
September 24	@ Blue Jays	18 - 4	Munro (0-2)	26,620	93-61
September 25	@ Blue Jays	9 - 6	Spoljaric (2-1)	32,029	94-61
September 26	@ Blue Jays	11 - 7	Koch (0-5)	34,253	95-61
September 28	@ Royals	2 - 1	Witasick (9-12)	11,009	96-61
September 29	@ Royals	5 - 2	Nagy (17-11)	11,814	96-62
September 30	Blue Jays	9 - 2	Spoljaric (2-2)	43,201	97-62
