Date	Opponent	Score	Loss	Attendance	Record
September 1	@ Royals	2 - 1	Belcher (12-11)	12,447	72-66
September 2	@ Royals	5 - 0	Rosado (7-11)	12,541	73-66
September 3	Red Sox	4 - 3 (11)	Veras (0-1)	27,226	74-66
September 4	Red Sox	12 - 1	Wakefield (15-7)	29,166	75-66
September 5	Red Sox	4 - 3	Saberhagen (12-7)	37,158	76-66
September 6	Red Sox	8 - 7	Lowe (3-9)	38,374	77-66
September 7	Indians	15 - 1	Ogea (4-3)	31,089	78-66
September 9	Indians	6 - 3 (13)	Almanzar (1-2)	32,157	78-67
September 10	@ Yankees	8 - 5	Hentgen (12-11)	25,881	78-68
September 11	@ Yankees	5 - 4	Irabu (11-9)	35,856	79-68
September 12	@ Yankees	5 - 3	Wells (17-4)	48,752	80-68
September 13	@ Yankees	5 - 3	Cone (19-6)	47,471	81-68
September 14	@ Indians	6 - 3	Sinclair (0-2)	43,152	81-69
September 15	@ Indians	7 - 5	Stieb (1-2)	43,323	81-70
September 16	@ Tigers	2 - 1	Powell (3-8)	10,967	82-70
September 17	@ Tigers	7 - 4	Person (3-1)	13,304	82-71
September 18	@ Devil Rays	6 - 1	Escobar (6-3)	32,053	82-72
September 19	@ Devil Rays	7 - 5	Van Ryn (0-1)	35,689	82-73
September 20	@ Devil Rays	7 - 5 (12)	Lopez (7-4)	32,183	83-73
September 21	Orioles	3 - 1	Erickson (15-13)	30,380	84-73
September 22	Orioles	7 - 3	Mussina (13-9)	26,363	85-73
September 23	Orioles	6 - 3	Guzmán (10-16)	28,147	86-73
September 25	Tigers	7 - 5	Williams (10-9)	33,151	86-74
September 26	Tigers	5 - 4 (13)	Sager (4-2)	40,268	87-74
September 27	Tigers	2 - 1	Thompson (11-15)	38,036	88-74
