School Year	Class A	Class AA	Class AAA	Class AAAA	Class AAAAA
1980-81	Paint Rock	Wolfe City	New Braunfels	Brownfield	Houston Westchester
1981-82	Paint Rock	Lindsay	Kermit	College Station A&M Consolidated	Plano
1982-83	Roby	Anna	North Lamar	Alamo Heights	Houston Stratford
1983-84	Lindsay	Springlake-Earth	Pflugerville	New Braunfels	Arlington Lamar
1984-85	Gold-Burg	Baird	North Lamar	Corpus Christi Flour Bluff	Lubbock
1985-86	Lenorah Grady	Baird	Slaton	Austin Westlake	Arlington
1986-87	Lindsay	Liberty Hill	Slaton	Denison	Houston Stratford
1987-88	Lindsay	Clifton	Lampasas	Cedar Hill	Houston Stratford
1988-89	Plains	Redwater	Lampasas	Granbury	League City Clear Creek
1989-90	Avery	Redwater	Bishop	Kerrville Tivy	Houston Memorial
1990-91	Valley Mills	Springlake-Earth	Lampasas	Kerrville Tivy	League City Clear Creek
1991-92	Valley Mills	Canadian	Troy	Carthage	Klein
1992-93	Lindsay	Wimberley	Seminole	Kingsville	San Antonio Holmes
1993-94	Lindsay	Florence	Cuero	Kingsville	San Antonio Holmes
1994-95	Rule	Troup	Waco Connally	Mesquite Poteet	Fort Worth Dunbar
1995-96	Rule	Franklin	Wimberley	Austin Johnson	Sugar Land Elkins
1996-97	Garden City	Canadian	Commerce	Austin Anderson	Humble
1997-98	Lenorah Grady	Sundown	Bridgeport	Austin Johnson	College Station A&M Consolidated
1998-99	Lenorah Grady	Rogers	Alvarado	Austin Johnson	Tyler Lee
1999-2000	Water Valley	Salado	La Feria	Gregory-Portland	Houston Bellaire
2000-01	Lenorah Grady	Stinnett West Texas	Seminole	Kingsville	Arlington Lamar
2001-02	High Island	Pattonville Prairiland	Seminole	Cedar Park	South Texas Science Academy
2002-03	Port Aransas	Argyle	Wimberley	White Settlement Brewer	Brazoswood
2003-04	Avery	Argyle	Ballinger	Friendswood	Klein
2004-05	Port Aransas	Argyle	Seminole	Friendswood	Sugar Land Clements
2005-06	(tie) Garden City/Nueces Canyon	Argyle	Cuero	Friendswood	Katy Taylor
2006-07	Garden City	Floydada	Cuero	Highland Park	San Antonio MacArthur
2007-08	Moulton	Vanderbilt Industrial	Wimberley	Friendswood	Sugar Land Clements
2008-09	Canadian	White Oak	Wimberley	Austin Lake Travis	Arlington Martin
2009-10	Canadian	White Oak	Whitney	Highland Park	Sugar Land Clements
2010-11	Canadian	Whitney	La Feria	Highland Park	Fort Worth Paschal
2011-12	Canadian	Lago Vista	La Feria	Highland Park	Sugar Land Dulles
2012-13	Sundown	Whitney	Argyle	Highland Park	Dallas Science & Engineering Magnet
