Name	Pos.	Height	Weight	Date of Birth	Club
Nikolai Maksimov	GK	m (ft 3in)	kg (lb)	1972-11-15	Lukoil Spartak Volgograd
Aleksandr Fyodorov	GK	m (ft 5in)	kg (lb)	1981-01-26	Lukoil Spartak Volgograd
Vitaly Yurchik	CB	m (ft 7in)	kg (lb)	1983-05-17	Lukoil Spartak Volgograd
Nikolay Kozlov	CB	m (ft 4in)	kg (lb)	1972-07-21	Lukoil Spartak Volgograd
Roman Balashov	D	m (ft 4in)	kg (lb)	1977-02-09	Shturm 2002 Chekhov
Alexander Eryshov	D	m (ft 11in)	kg (lb)	1973-01-17	Dinamo Moscow
Revaz Tchomakhidze	CF	m (ft 5in)	kg (lb)	1973-12-15	Shturm 2002 Chekhov
Dmitry Stratan	D	m (ft 5in)	kg (lb)	1975-01-24	Shturm 2002 Chekhov
Dmitry Gorshkov	D	m (ft 11in)	kg (lb)	1967-04-29	CSK VMF Moscow
Marat Zakirov	D	m (ft 10in)	kg (lb)	1973-11-08	Dinamo Moscow
Sergey Garbuzov	CB	m (ft 4in)	kg (lb)	1974-01-13	Shturm 2002 Chekhov
Irek Zinnourov	D	m (ft 2in)	kg (lb)	1969-01-11	Lukoil Spartak Volgograd
Andrey Rekechinsky	CF	m (ft 3in)	kg (lb)	1981-01-07	Lukoil Spartak Volgograd
Head Coach: Aleksandr Kabanov	Head Coach: Aleksandr Kabanov	Head Coach: Aleksandr Kabanov	Head Coach: Aleksandr Kabanov	Head Coach: Aleksandr Kabanov	Head Coach: Aleksandr Kabanov
