Name	Nationality	Position	Year of birth	Career	Appearances	Goals	Club
Quique Álvarez Category:Articles with hCards	Spain	Defender	1975	1995–2009	200	005	Villareal
Guillermo Amor Category:Articles with hCards	Spain	Midfielder	1967	1988–2002	402	048	Barcelona
Francesc Arnau Category:Articles with hCards	Spain	Goalkeeper	1975	1996–2011	169	000	Málaga
Mikel Arteta Category:Articles with hCards	Spain	Midfielder	1982	2000–¤	335	049	Arsenal
Gai Assulin Category:Articles with hCards	Israel	Midfielder	1991	2009–¤	21	001	Racing Santander
Sergi Barjuán Category:Articles with hCards	Spain	Defender	1971	1993–2002	352	006	Barcelona
Carles Busquets Category:Articles with hCards	Spain	Goalkeeper	1967	1990–1999	079	000	Barcelona
Sergio Busquets Category:Articles with hCards	Spain	Defender	1988	2008–¤	071	002	Barcelona
Jordi Cruyff Category:Articles with hCards	Netherlands	Midfielder	1974	1994–2010	256	042	Alavés
Cesc Fàbregas Category:Articles with hCards	Spain	Midfielder	1987	2003–¤	233	044	Barcelona
Dani Fernandez Category:Articles with hCards	Spain	Defender	1983	1992–¤	92	000	Genk
Albert Ferrer Category:Articles with hCards	Spain	Defender	1970	1990–2003	297	001	Barcelona
Andreu Fontàs Category:Articles with hCards	Spain	Defender	1989	2009–¤	007	000	Barcelona
Gabri García Category:Articles with hCards	Spain	Midfielder	1979	1999–¤	287	026	Ajax
Luis García Category:Articles with hCards	Spain	Midfielder	1978	1999–¤	225	040	UNAM
Óscar García Category:Articles with hCards	Spain	Midfielder	1973	1992–2005	169	031	Barcelona
Roger García Category:Articles with hCards	Spain	Midfielder	1976	1995–2007	258	029	Espanyol
Pep Guardiola Category:Articles with hCards	Spain	Midfielder	1971	1990–2006	291	009	Barcelona
Xavi Hernández Category:Articles with hCards	Spain	Midfielder	1980	1998–¤	405	046	Barcelona
Mauro Icardi Category:Articles with hCards	Argentina	Forward	1993	2012–¤	23	010	Sampdoria
Andrés Iniesta Category:Articles with hCards	Spain	Midfielder	1984	2002–¤	228	022	Barcelona
Bojan Krkić Category:Articles with hCards	Spain	Forward	1990	2007–¤	092	023	Amsterdam
Thiago Motta Category:Articles with hCards	Italy	Midfielder	1982	2001–¤	152	020	PSG
Fernando Navarro Category:Articles with hCards	Spain	Defender	1982	2001–¤	194	003	Sevilla
Gerard Piqué Category:Articles with hCards	Spain	Defender	1987	2005–¤	071	005	Barcelona
Iván de la Peña Category:Articles with hCards	Spain	Midfielder	1976	1995–2011	369	024	Espanyol
Oleguer Presas Category:Articles with hCards	Spain	Defender	1980	2002–¤	146	002	Ajax
Carles Puyol Category:Articles with hCards	Spain	Defender	1978	1999–¤	345	007	Barcelona
Pepe Reina Category:Articles with hCards	Spain	Goalkeeper	1982	2002–¤	317	000	Napoli
Pedro Rodríguez Category:Articles with hCards	Spain	Forward	1987	2007–¤	060	021	Barcelona
Víctor Valdés Category:Articles with hCards	Spain	Goalkeeper	1982	2002–¤	281	000	Barcelona
Victor Vazquez Category:Articles with hCards	Spain	Midfielder	1987	1997–¤	44	007	Club Brugge
Jeffrén Suárez Category:Articles with hCards	Spain	Forward	1988	2009–¤	23	003	Sporting
Giovani dos Santos Category:Articles with hCards	Mexico	Forward	1989	2007–¤	96	021	Villarreal
Luis Milla Category:Articles with hCards	Spain	Midfielder	1966	1986–2001	298	006	Real Madrid
Nayim Category:Articles with hCards	Spain	Midfielder	1966	1987–2000	341	028	Tottenham
Óscar Arpón Category:Articles with hCards	Spain	Midfielder	1975	1995–¤	138	005	River Ebro
Lluís Carreras Category:Articles with hCards	Spain	Defender	1972	1992–2007	220	010	Mallorca
Albert Celades Category:Articles with hCards	Spain	Midfielder	1975	1995–¤	267	011	Barcelona
Luis Cembranos Category:Articles with hCards	Spain	Midfielder	1972	1994–2004	176	037	Rayo Vallecano
Sergio García Category:Articles with hCards	Spain	Forward	1983	2003–¤	166	031	Espanyol
Javi Moreno Category:Articles with hCards	Spain	Forward	1974	1999–2010	134	040	Alavés
Francisco Rufete Category:Articles with hCards	Spain	Midfielder	1976	1995–¤	280	029	Hércules
Toni Velamazán Category:Articles with hCards	Spain	Midfielder	1977	1995–¤	198	027	Hospitalet
Antonio Pinilla Category:Articles with hCards	Spain	Forward	1971	1990–2008	242	040	Tenerife
Ángel Pedraza Category:Articles with hCards	Spain	Defender	1962	1982–1997	129	005	Mallorca
Cristóbal Parralo Category:Articles with hCards	Spain	Defender	1967	1987–2003	517	014	Espanyol
Lionel Messi Category:Articles with hCards	Argentina	Forward	1987	2004–¤	327	301	Barcelona
Jordi Alba Category:Articles with hCards	Spain	Defender	1989	2007–¤	010	002	Barcelona
