Year	Designated Grand Prix	Track	250 cc	350 cc	500 cc	Report
1948	Ulster Grand Prix	Clady	Maurice Cann	Freddie Frith	Enrico Lorenzetti	Report
1947	Swiss Grand Prix	Bremgarten	Bruno Francisci	Fergus Anderson	Omobono Tenni	Report
1946 - 1938	Not held	Not held	Not held	Not held	Not held	Not held
1937	Swiss Grand Prix	Bremgarten	Omobono Tenni	Jimmie Guthrie	Jimmie Guthrie	Report
1936	German Grand Prix	Sachsenring	Henry Tyrell-Smith	Freddie Frith	Jimmie Guthrie	Report
1935	Ulster Grand Prix	Clady	Arthur Geiß	Wal Handley	Jimmie Guthrie	Report
1934	Dutch TT	Assen	Walfried Winkler	Jimmie Simpson	Pol Demeuter	Report
1933	Swedish Grand Prix	Saxtorp	Charlie Dodson	Jimmie Simpson	Gunnar Kalén	Report
1932	Nations Grand Prix	Littorio	Riccardo Brusi	Louis Jeannin	Piero Taruffi	Report
1931	French Grand Prix	Montlhéry	Graham Walker	Ernie Nott	Percy Hunt	Report
1930	Belgian Grand Prix	Spa-Francorchamps	Syd Crabtree	Ernie Nott	Henry Tyrell-Smith	Report
1929	Spanish Grand Prix	Granollers	Frank Longman	Leo Davenport	Percy Hunt	Report
1928	Swiss Grand Prix	Meyrin	Cecil Ashby	Wal Handley	Wal Handley	Report
1927	German Grand Prix	Nürburgring	Cecil Ashby	Jimmie Simpson	Graham Walker	Report
1926	Belgian Grand Prix	Spa-Francorchamps	Jock Porter	Frank Longman	Jimmie Simpson	Report
1925	Nations Grand Prix	Monza	Jock Porter	Tazio Nuvolari	Mario Revelli	Report
1924	Nations Grand Prix	Monza	Maurice van Geert	Jimmie Simpson	Guido Mentasti	Report
