Number	Name	Titles	Date	Opponent	Result	Defenses
1	Thomas Hearns	WBA Welterweight (147)	1980-08-02	Pipino Cuevas	TKO 2/15	3
1	Thomas Hearns	WBC Light middleweight (154)	1982-12-03	Wilfred Benítez	TKO 2/15	5
1	Thomas Hearns	The Ring Light middleweight (154)	1983-05	N/A	N/A	5
1	Thomas Hearns	WBC Light heavyweight (175)	1987-03-07	Dennis Andries	UD 12/12	0
1	Thomas Hearns	WBC Middleweight (160)	1987-10-29	Juan Domingo Roldán	KO 4/12	0
2	Ray Charles Leonard	WBC Welterweight (147)	1979-11-30	Wilfred Benítez	TKO 15/15	1
2	Ray Charles Leonard	The Ring Welterweight (147)	1979-11-30	Wilfred Benítez	TKO 15/15	1
2	Ray Charles Leonard	WBA Light middleweight (154)	1981-06-25	Ayub Kalule	TKO 9/15	0
2	Ray Charles Leonard	The Ring Junior middleweight (154)	1981-06-25	Ayub Kalule	TKO 9/15	0
2	Ray Charles Leonard	WBC Middleweight (160)	1987-04-06	Marvin Hagler	SD 12/12	0
2	Ray Charles Leonard	The Ring Middleweight (160)	1987-04-06	Marvin Hagler	SD 12/12	0
2	Ray Charles Leonard	WBC Super middleweight (168)	1988-11-07	Don Lalonde	TKO 9/12	2
2	Ray Charles Leonard	WBC Light heavyweight (175)	1988-11-07	Don Lalonde	TKO 9/12	0
3	Roberto Durán	WBA Lightweight (135)	1972-06-26	Ken Buchanan	TKO 13/15	12
3	Roberto Durán	The Ring Lightweight (135)	1972-06-26	Ken Buchanan	TKO 13/15	12
3	Roberto Durán	WBC Welterweight (147)	1980-06-20	Ray Charles Leonard	UD 15/15	0
3	Roberto Durán	The Ring Welterweight (147)	1980-06-20	Ray Charles Leonard	UD 15/15	0
3	Roberto Durán	WBA Light middleweight (154)	1983-06-16	Davey Moore	TKO 8/15	0
3	Roberto Durán	WBC Middleweight (160)	1989-02-24	Iran Barkley	SD 12/12	0
4	Pernell Whitaker	IBF Lightweight (135)	1989-02-18	Greg Haugen	UD 12/12	8
4	Pernell Whitaker	The Ring Lightweight (135)	1990-08-11	Juan Nazario	KO 1/12	3
4	Pernell Whitaker	IBF Junior Welterweight (140)	1992-07-18	Rafael Pineda	UD 12/12	0
4	Pernell Whitaker	WBC Welterweight (147)	1993-03-06	James McGirt	UD 12/12	8
