Asomtavruli	Nuskhuri	Mkhedruli	Letter name	Phoneme
Ⴀ	ⴀ	ა	ɑn	ɑ
Ⴁ	ⴁ	ბ	bɑn	b
Ⴂ	ⴂ	გ	ɡɑn	ɡ
Ⴃ	ⴃ	დ	dɔn	d
Ⴄ	ⴄ	ე	ɛn	ɛ
Ⴅ	ⴅ	ვ	vin	v
Ⴆ	ⴆ	ზ	zɛn	z
Ⴡ	ⴡ	ჱ	ɛj	ɛj
Ⴇ	ⴇ	თ	tɑn	t
Ⴈ	ⴈ	ი	in	i
Ⴉ	ⴉ	კ	kʼɑn	kʼ
Ⴊ	ⴊ	ლ	lɑs	l
Ⴋ	ⴋ	მ	mɑn	m
Ⴌ	ⴌ	ნ	nɑr	n
Ⴢ	ⴢ	ჲ	jɛ	j
Ⴍ	ⴍ	ო	ɔn	ɔ
Ⴎ	ⴎ	პ	pʼɑr	pʼ
Ⴏ	ⴏ	ჟ	ʒɑn	ʒ
Ⴐ	ⴐ	რ	rɑɛ	r
Ⴑ	ⴑ	ს	sɑn	s
Ⴒ	ⴒ	ტ	tʼɑr	tʼ
Ⴣ	ⴣ	ჳ	wiɛ	wi
ႭჃ	ⴓ	უ	un	u
Ⴔ	ⴔ	ფ	pɑr	p
Ⴕ	ⴕ	ქ	kɑn	k
Ⴖ	ⴖ	ღ	ɣɑn	ɣ
Ⴗ	ⴗ	ყ	qʼɑr	qʼ
Ⴘ	ⴘ	შ	ʃin	ʃ
Ⴙ	ⴙ	ჩ	t͡ʃin	t͡ʃ
Ⴚ	ⴚ	ც	t͡sɑn	t͡s
Ⴛ	ⴛ	ძ	d͡zil	d͡z
Ⴜ	ⴜ	წ	t͡sʼil	t͡sʼ
Ⴝ	ⴝ	ჭ	t͡ʃʼɑr	t͡ʃʼ
Ⴞ	ⴞ	ხ	xɑn	x
Ⴤ	ⴤ	ჴ	qɑr	q
Ⴟ	ⴟ	ჯ	d͡ʒɑn	d͡ʒ
Ⴠ	ⴠ	ჰ	hɑɛ	h
Ⴥ	ⴥ	ჵ	hoɛ	hoe
