Club	Games	Wins	Losses	Draws
AS Kasserine	4	2	1	1
Avenir Sportif de La Marsa	26	5	9	12
Association Mégrine Sportive	2	1	0	1
Club Africain	26	3	18	5
Club Athlétique Bizertin	26	9	16	1
Club Olympique des Transports	12	1	6	5
Club Sportif de Hammam-Lif	22	5	11	6
CS Korba	2	2	0	0
Club Sportif de Menzel Bouzelfa	2	1	1	0
Club Sportif Sfaxien	26	3	13	10
Espérance Sportive de Tunis	26	5	14	7
Espérance Sportive de Zarzis	6	2	1	3
ES Beni-Khalled	2	1	0	1
Étoile Sportive du Sahel	26	4	13	9
Jeunesse Sportive Kairouanaise	26	6	11	9
El Makarem de Mahdia	2	0	1	1
Olympique Béja	16	4	9	3
Olympique du Kef	10	4	4	2
Sfax Railways Sports	20	2	4	14
Stade Gabèsien	6	2	2	2
Stade Sportif Sfaxien	2	1	0	1
Stade Tunisien	26	7	9	10
Stade Soussien	2	1	1	0
STIA Sousse	2	1	1	0
Union Sportive Monastir	18	6	7	5
