Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	53	1:27:33.298	1
Juan Pablo Montoya	Williams - BMW	53	+3.154	2
David Coulthard	McLaren - Mercedes	53	+23.262	7
Mika Häkkinen	McLaren - Mercedes	53	+35.539	5
Rubens Barrichello	Ferrari	53	+36.544	4
Ralf Schumacher	Williams - BMW	53	+37.122	3
Jenson Button	Benetton - Renault	53	+1:37.102	9
Jarno Trulli	Jordan - Honda	52	+1 Lap	8
Nick Heidfeld	Sauber - Petronas	52	+1 Lap	10
Jacques Villeneuve	BAR - Honda	52	+1 Lap	14
Fernando Alonso	Minardi - European	52	+1 Lap	18
Heinz-Harald Frentzen	Prost - Acer	52	+1 Lap	15
Olivier Panis	BAR - Honda	51	+2 Laps	17
Enrique Bernoldi	Arrows - Asiatech	51	+2 Laps	20
Jos Verstappen	Arrows - Asiatech	51	+2 Laps	21
Alex Yoong	Minardi - European	50	+3 Laps	22
Giancarlo Fisichella	Benetton - Renault	47	Gearbox	6
Pedro de la Rosa	Jaguar - Cosworth	45	Oil Leak	16
Tomáš Enge	Prost - Acer	42	Brakes	19
Eddie Irvine	Jaguar - Cosworth	24	Fuel Rig	13
Kimi Räikkönen	Sauber - Petronas	5	Collision	12
Jean Alesi	Jordan - Honda	5	Collision	11
