Date	Visitor	Score	Home	Decision	Attendance	Record
February 1	Dallas	4 – 1	Edmonton	Turco	16,839	30–20–5
February 2	Dallas	2 – 1	Calgary	Turco	19,289	31–20–5
February 5	Vancouver	2 – 3	Dallas	Turco	17,642	32–20–5
February 7	Dallas	1 – 0	Minnesota	Smith	18,568	33–20–5
February 9	St. Louis	2 – 6	Dallas	Smith	18,584	34–20–5
February 11	Phoenix	1 – 2	Dallas	Turco	17,622	35–20–5
February 14	Dallas	2 – 5	Phoenix	Turco	12,885	35–21–5
February 15	Dallas	4 – 2	Anaheim	Turco	17,323	36–21–5
February 17	Detroit	0 – 1	Dallas	Turco	18,584	37–21–5
February 20	Calgary	3 – 2	Dallas	Turco	18,584	37–22–5
February 22	Edmonton	2 – 5	Dallas	Turco	18,564	38–22–5
February 23	Dallas	6 – 2	Nashville	Smith	17,113	39–22–5
February 26	Dallas	3 – 1	St. Louis	Turco	19,150	40–22–5
February 28	Chicago	4 – 7	Dallas	Turco	18,584	41–22–5
