Date	Opponent	Score	Loss	Save
August 1	Cardinals	9 - 8 14	Dayley (3-1)	|| 36,164 ||53-47||
August 2	Mets	2 - 1	Leach (1-1)	Brusstar (4)
August 3	Mets	5 - 4 10	Frazier (6-5)	McDowell (9)
August 4	Mets	4 - 1	Fontenot (4-6)	|| 35,207 ||54-49||
August 5	Mets	7 - 2	Botelho (0-1)	|| 34,167 ||54-50||
August 8	@ Cardinals	8 - 0	Sanderson (5-5)	|| 39,203 ||54-51||
August 9	@ Mets	6 - 4	Brusstar (2-2)	|| 44,309 ||54-52||
August 10	@ Mets	8 - 3	Fontenot (4-7)	|| 48,306 ||54-53||
August 11	@ Mets	6 - 2	Botelho (0-2)	|| 40,311 ||54-54||
August 12	Expos	8 - 7	Reardon (2-5)	Smith (24)
August 13	Expos	4 - 1	Sanderson (5-6)	Reardon (30)
August 14	Expos	8 - 7	Sorensen (3-3)	Burke (5)
August 15	Expos	7 - 3	Engel (0-2)	|| 29,553 ||55-57||
August 16	Phillies	6 - 5	Tekulve (4-8)	|| 31,557 ||56-57||
August 17	Phillies	10 - 4	Sorensen (3-4)	|| 31,421 ||56-58||
August 18	Phillies	9 - 5	Baller (0-1)	Tekulve (13)
August 20	@ Braves	5 - 2	Sutter (7-6)	Smith (25)
August 21	@ Braves	9 - 5	Garber (3-4)	Smith (26)
August 22	@ Braves	3 - 2	Camp (2-6)	Smith (27)
August 23	@ Reds	3 - 2	Sorensen (3-5)	|| 34,283 ||59-60||
August 24	@ Reds	4 - 0	Soto (10-15)	Smith (28)
August 25	@ Reds	5 - 3	Brusstar (3-3)	Franco (7)
August 26	@ Astros	10 - 4	Knepper (10-10)	|| 9,557 ||61-61||
August 27	@ Astros	11 - 4	Meridith (2-1)	|| 10,810 ||61-62||
August 28	@ Astros	3 - 0	Baller (0-2)	Heathcock (1)
August 29	Braves	9 - 6	Sorensen (3-6)	Camp (2)
August 30	Braves	8 - 1	Fontenot (5-8)	|| 15,920 ||61-65||
August 31	Braves	5 - 4 11	Garber (5-5)	|| 31,876 ||62-65||
