Round	Pick	Overall	Name	Position	College
1	8	8	Jim Hardy	QB	Southern California
3	7	23	John Adams	OT	Notre Dame
5	6	38	George Bujan	C	Oregon
6	8	51	John North	E	Vanderbilt
7	7	61	John Steber	G	Georgia Tech
8	6	71	Art Porter	E	Tulane
9	8	84	Curt Kuykendall	RB	Auburn
10	7	94	Frank Brogger	E	Michigan State
11	6	104	Mack Creger	RB	Northwestern
12	8	117	Paul McKee	E	Syracuse
13	7	127	Charlie Conerly	QB	Mississippi
14	6	137	John Putnik	E	Utah State
15	8	150	Eddie Saenz	HB	Southern California
16	7	160	Dom Fusci	OT	South Carolina
17	6	170	Bobby Jenkins	RB	Alabama
18	8	183	Ed Stacco	OT	Colgate
19	7	193	Jim Bradshaw	C	Auburn
20	6	203	Bill Shipkey	RB	Stanford
21	8	216	Sid Halliday	OT	Southern Methodist
22	7	226	Chick Davidson	OT	Cornell
23	6	236	Gabby Martin	E	Southern Methodist
24	8	249	Jim McCurdy	C	Stanford
25	7	259	Cecil Souders	E	Ohio State
26	6	269	Ben Wall	RB	Western Michigan
27	8	282	George Hillery	E	Texas-El Paso
28	7	292	Milford Dreblow	RB	Southern California
29	6	302	Frank Irwin	OT	Duke
30	8	315	Leon Diner	E	Denver
31	2	320	Bob Cummings	C	Vanderbilt
32	1	325	Don Nolander	C	Minnesota
