Pick #	Player	Position	Nationality	NHL team	College/junior/club team
15	Ken Baird	Defence	Canada	California Golden Seals	Flin Flon Bombers (WCHL)
16	Henry Boucha	Centre	United States	Detroit Red Wings	US National Development Team
17	Bobby Lalonde	Centre	Canada	Vancouver Canucks	Montreal Junior Canadiens (OHA)
18	Brian McKenzie	Left Wing	Canada	Pittsburgh Penguins	St Catharines Black Hawks (OHA)
19	Craig Ramsay	Left Wing	Canada	Buffalo Sabres	Peterborough Petes (OHA)
20	Larry Robinson	Defence	Canada	Montreal Canadiens	Kitchener Rangers (OHA)
21	Rod Norrish	Left Wing	Canada	Minnesota North Stars	Regina Pats (WCHL)
22	Rick Kehoe	Right Wing	Canada	Toronto Maple Leafs	Hamilton Red Wings (OHA)
23	Dave Fortier	Defence	Canada	Toronto Maple Leafs	St Catharines Black Hawks (OHA)
24	Michel DeGuise	Goaltender	Canada	Montreal Canadiens	Sorel Eperviers (QMJHL)
25	Terry French	Centre	Canada	Montreal Canadiens	Ottawa 67's (OHA)
26	Dave Kryskow	Left Wing	Canada	Chicago Black Hawks	Edmonton Oil Kings (WCHL)
27	Tom Williams	Left Wing	Canada	New York Rangers	Hamilton Red Wings (OHA)
28	Curt Ridley	Goaltender	Canada	Boston Bruins	Portage Terriers (MJHL)
