Name	Nation	Points	Games	Pts/game
Estelle Sartini	France	33	5	6.6
Karen Andrew	England	31	5	6.2
Non Evans	Wales	29	5	5.8
Nicola Crawford	England	25	5	5
Susan Day	England	20	5	4
Helen Clayton	England	20	5	4
Daniella Waterman	England	20	5	4
Lucie Elodie	France	20	5	4
Paula Chalmers	Scotland	18	5	3.6
Michaela Staniford	England	15	5	3
Shelley Rae	England	12	4	3
Georgia Stevens	England	10	5	2
Delphine Plantet	France	10	5	2
Joy Neville	Ireland	10	5	2
Ines Etxeguibel	Spain	10	5	2
Amy Turner	England	10	2	5
Fanny Horta	France	10	6	1.67
Rachel Poolman	Wales	10	5	2
Sara Jane Belton	Ireland	7	5	1.4
Philippa Tuttiett	France	6	1	6
