Week	Date	Opponent	Result	Attendance
1	August 31, 1997	Arizona Cardinals	W 24–21	53,644
2	September 7, 1997	at Baltimore Ravens	L 23–10	52,968
3	Bye	Bye	Bye	Bye
4	September 21, 1997	at Denver Broncos	L 38–20	73,871
5	September 28, 1997	New York Jets	L 31–14	57,209
6	October 5, 1997	at Jacksonville Jaguars	L 21–13	67,128
7	October 12, 1997	at Tennessee Oilers	L 30–7	17,071
8	October 19, 1997	Pittsburgh Steelers	L 26–10	60,020
9	October 26, 1997	at New York Giants	L 29–27	72,584
10	November 2, 1997	San Diego Chargers	W 38–31	53,754
11	November 9, 1997	at Indianapolis Colts	W 28–13	58,473
12	November 16, 1997	at Pittsburgh Steelers	L 20–3	55,226
13	November 23, 1997	Jacksonville Jaguars	W 31–26	55,158
14	November 30, 1997	at Philadelphia Eagles	L 44–42	66,623
15	December 4, 1997	Tennessee Oilers	W 41–14	49,086
16	December 14, 1997	Dallas Cowboys	W 31–24	60,043
17	December 21, 1997	Baltimore Ravens	W 16–14	50,917
