Elector	Nationality	Cardinalatial Title	Elevated	Elevator
Pierre de Foix , O.F.M.	French	Bishop of Albano	September, 1414	Antipope John XXIII
Petrus von Schaumberg	German	Priest of S. Vitale	1439, December 18	Pope Eugenius IV
Dénes Szécsi	Hungarian	Priest of S. Ciriaco	1439, December 18	Pope Eugenius IV
Jean Rolin	French	Priest of S. Stefano al Monte Celio	1448, December 20	Pope Nicholas V
Luis Juan del Mila y Borja	n Catalonia	Priest of SS. IV Coronati	1456, September 17	Pope Callixtus III ( Cardinal-nephew )
Berardo Eroli	Narni	Priest of S. Sabina	1460, March 5	Pope Pius II
Niccolò Fortiguerra	Pistoia	Priest of S. Cecilia	1460, March 5	Pope Pius II ( Cardinal-nephew )
Burchard of Weissbruch	German	Priest of SS. Nereo ed Achilleo	1460, March 5	Pope Pius II
Jean Jouffroy , O.S.B.Cluny	French	Priest of SS. Silvestro e Martino ai Monti	1461, December 18	Pope Pius II
Jaime Cardona	n Catalonia	Priest [no title assigned]	1461, December 18	Pope Pius II
