No.	Barangay	Area (in km 2 )	Rank	Population (2000)	Population (2007)	Population (2010)	Population Density (2010)
1	Bagbaguin	7.6358	7	7586	10389	8407	1,100.99
2	Balasing	6.3713	15	4208	6230	6530	1,024.90
3	Buenavista	2.4647	21	1438	2201	2103	853.24
4	Bulac	5.2009	14	5145	7600	7691	1,478.78
5	Camangyanan	2.4761	18	2991	4045	4277	1,727.31
6	Catmon	8.2860	5	8586	11913	11671	1,408.52
7	Caypombo	4.1626	2	7731	15698	22948	5,512.90
8	Caysio	3.1198	20	1871	2679	10790	3,458.55
9	Guyong	3.6191	6	9174	11858	13525	3,737.11
10	Lalakhan	0.3354	22	1880	2116	2045	6,097.19
11	Mag-asawang Sapa	1.1327	16	4405	5640	7303	6,447.42
12	Mahabang Parang	1.0466	19	2374	3317	3411	3,259.12
13	Manggahan	1.6386	23	1606	1948	2227	1,359.08
14	Parada	4.0669	12	5654	7823	7263	1,785.88
15	Poblacion (Santa Maria town proper)	2.8032	3	12210	14073	11130	3,970.46
16	Pulong Buhangin	14.3817	1	23069	33799	33643	2,339.29
17	San Gabriel	3.6787	10	5332	8058	7606	2,067.57
18	San Jose Patag	2.5218	9	6716	9925	9999	3,965.02
19	San Vicente	7.2537	4	7921	12717	13466	1,856.43
20	Santa Clara	2.1470	8	8010	10052	9193	4,281.78
21	Santa Cruz	2.2705	13	4718	7747	7968	3,509.35
22	Silangan	0.9387	24	1493	1855	1709	1,820.60
23	Tabing Bakod (Santo Tomas)	1.2530	17	5357	5522	5330	4,253.79
24	Tumana	2.1202	11	4807	8053	8116	3,827.94
