Entered [A ]	Weeks in top 12	Single	Artist	Peak	Peak reached [A ]	Weeks at number 1
9 Cannot handle non-empty timestamp argument!	18	" Here in My Heart "‡	Al Martino Category:Articles with hCards	1	9 Cannot handle non-empty timestamp argument!	9
9 Cannot handle non-empty timestamp argument!	10	" Feet Up "‡	Guy Mitchell Category:Articles with hCards	2	16 Cannot handle non-empty timestamp argument!	0
9 Cannot handle non-empty timestamp argument!	12	" Isle of Innisfree "‡	Bing Crosby Category:Articles with hCards	3	7 Cannot handle non-empty timestamp argument!	0
9 Cannot handle non-empty timestamp argument!	9	" Half as Much "‡	Rosemary Clooney Category:Articles with hCards	3	16 Cannot handle non-empty timestamp argument!	0
9 Cannot handle non-empty timestamp argument!	24	" Because You're Mine "‡	Mario Lanza Category:Articles with hCards	3	30 Cannot handle non-empty timestamp argument!	0
14 Cannot handle non-empty timestamp argument!	4 [D ]	" Because You're Mine "‡	Nat King Cole Category:Articles with hCards	1	14 Cannot handle non-empty timestamp argument!	5
9 Cannot handle non-empty timestamp argument!	19	" You Belong to Me "	Jo Stafford Category:Articles with hCards	1	11 Cannot handle non-empty timestamp argument!	1
9 Cannot handle non-empty timestamp argument!	8 [B ]	" Cowpuncher's Cantata "	Max Bygraves Category:Articles with hCards	6	18 Cannot handle non-empty timestamp argument!	0
30 Cannot handle non-empty timestamp argument!	16	" Comes A-Long A-Love "	Kay Starr Category:Articles with hCards	1	18 Cannot handle non-empty timestamp argument!	1
7 Cannot handle non-empty timestamp argument!	6 [D ]	" Britannia Rag "	Winifred Atwell Category:Articles with hCards	5	18 Cannot handle non-empty timestamp argument!	0
14 Cannot handle non-empty timestamp argument!	10	" Takes Two to Tango "	Louis Armstrong Category:Articles with hCards	6	18 Cannot handle non-empty timestamp argument!	0
14 Cannot handle non-empty timestamp argument!	7 [D ]	" Walkin' to Missouri "	Tony Brent Category:Articles with hCards	7	18 Cannot handle non-empty timestamp argument!	0
28 Cannot handle non-empty timestamp argument!	4 [C ]	" Faith Can Move Mountains "	Nat King Cole Category:Articles with hCards	4	1 Cannot handle non-empty timestamp argument!	0
28 Cannot handle non-empty timestamp argument!	17 [D ]	" Outside of Heaven "	Eddie Fisher Category:Articles with hCards	1	25 Cannot handle non-empty timestamp argument!	1
28 Cannot handle non-empty timestamp argument!	7 [D ]	" Make It Soon "	Tony Brent Category:Articles with hCards	9	11 Cannot handle non-empty timestamp argument!	0
4 Cannot handle non-empty timestamp argument!	1	" Faith Can Move Mountains "	Jimmy Young Category:Articles with hCards	11	4 Cannot handle non-empty timestamp argument!	0
4 Cannot handle non-empty timestamp argument!	1	" The Glow-Worm "	Mills Brothers	10	4 Cannot handle non-empty timestamp argument!	0
18 Cannot handle non-empty timestamp argument!	5 [D ]	" Everything I Have Is Yours "	Eddie Fisher Category:Articles with hCards	8	1 Cannot handle non-empty timestamp argument!	0
18 Cannot handle non-empty timestamp argument!	1	" Got You on My Mind "	Tony Brent Category:Articles with hCards	12	18 Cannot handle non-empty timestamp argument!	0
25 Cannot handle non-empty timestamp argument!	12	" Now "	Al Martino Category:Articles with hCards	3	15 Cannot handle non-empty timestamp argument!	0
8 Cannot handle non-empty timestamp argument!	16 [D ]	" She Wears Red Feathers "	Guy Mitchell Category:Articles with hCards	1	8 Cannot handle non-empty timestamp argument!	4
8 Cannot handle non-empty timestamp argument!	12 [D ]	" Broken Wings "	The Stargazers Category:Articles with hCards	1	5 Cannot handle non-empty timestamp argument!	1
8 Cannot handle non-empty timestamp argument!	7	" Broken Wings "	Art and Dotty Todd Category:Articles with hCards	6	22 Cannot handle non-empty timestamp argument!	0
15 Cannot handle non-empty timestamp argument!	1	" Broken Wings "	Dickie Valentine Category:Articles with hCards	12	15 Cannot handle non-empty timestamp argument!	0
22 Cannot handle non-empty timestamp argument!	10	" Wonderful Copenhagen "	Danny Kaye Category:Articles with hCards	6	15 Cannot handle non-empty timestamp argument!	0
1 Cannot handle non-empty timestamp argument!	1	" Why Don't You Believe Me? "	Joni James Category:Articles with hCards	11	1 Cannot handle non-empty timestamp argument!	0
8 Cannot handle non-empty timestamp argument!	11	" How Much Is That Doggie in the Window? "	Lita Roza Category:Articles with hCards	1	12 Cannot handle non-empty timestamp argument!	1
8 Cannot handle non-empty timestamp argument!	3	" All the Time and Everywhere "	Dickie Valentine Category:Articles with hCards	9	15 Cannot handle non-empty timestamp argument!	0
15 Cannot handle non-empty timestamp argument!	1	" The Girl in the Wood "	Frankie Laine Category:Articles with hCards	11	15 Cannot handle non-empty timestamp argument!	0
15 Cannot handle non-empty timestamp argument!	1	" Night Train "	Buddy Morrow Category:Articles with hCards	12	15 Cannot handle non-empty timestamp argument!	0
22 Cannot handle non-empty timestamp argument!	5	" How Much Is That Doggie in the Window? "	Patti Page Category:Articles with hCards	9	22 Cannot handle non-empty timestamp argument!	0
29 Cannot handle non-empty timestamp argument!	8	" Oh Happy Day "	Johnston Brothers	4	26 Cannot handle non-empty timestamp argument!	0
29 Cannot handle non-empty timestamp argument!	3	" Little Red Monkey "	Frank Chacksfield's Tunesmiths	10	29 Cannot handle non-empty timestamp argument!	0
29 Cannot handle non-empty timestamp argument!	36	" I Believe "	Frankie Laine Category:Articles with hCards	1	19 Cannot handle non-empty timestamp argument!	18
5 Cannot handle non-empty timestamp argument!	7 [B ]	" Somebody Stole My Gal "	Johnnie Ray Category:Articles with hCards	6	5 Cannot handle non-empty timestamp argument!	0
19 Cannot handle non-empty timestamp argument!	11	" Pretty Little Black Eyed Susie "	Guy Mitchell Category:Articles with hCards	2	26 Cannot handle non-empty timestamp argument!	0
19 Cannot handle non-empty timestamp argument!	4	" Side by Side	Kay Starr Category:Articles with hCards	7	26 Cannot handle non-empty timestamp argument!	0
19 Cannot handle non-empty timestamp argument!	18	" Pretend "	Nat King Cole Category:Articles with hCards	2	3 Cannot handle non-empty timestamp argument!	0
26 Cannot handle non-empty timestamp argument!	15	" Downhearted "	Eddie Fisher Category:Articles with hCards	3	17 Cannot handle non-empty timestamp argument!	0
26 Cannot handle non-empty timestamp argument!	10	" In a Golden Coach (There's a Heart of Gold) "	Billy Cotton Category:Articles with hCards	3	31 Cannot handle non-empty timestamp argument!	0
10 Cannot handle non-empty timestamp argument!	17	" Hold Me, Thrill Me, Kiss Me "	Muriel Smith Category:Articles with hCards	3	14 Cannot handle non-empty timestamp argument!	0
10 Cannot handle non-empty timestamp argument!	23	" Terry's Theme "	Ron Goodwin Category:Articles with hCards	3	2 Cannot handle non-empty timestamp argument!	0
10 Cannot handle non-empty timestamp argument!	6 [D ]	" Coronation Rag "	Winifred Atwell Category:Articles with hCards	5	31 Cannot handle non-empty timestamp argument!	0
17 Cannot handle non-empty timestamp argument!	24	" Terry's Theme "	Frank Chacksfield Category:Articles with hCards	2	31 Cannot handle non-empty timestamp argument!	0
24 Cannot handle non-empty timestamp argument!	23 [C ]	" The Song from Moulin Rouge "	Mantovani	1	9 Cannot handle non-empty timestamp argument!	1
31 Cannot handle non-empty timestamp argument!	1	" In a Golden Coach (There's a Heart of Gold) "	Dickie Valentine Category:Articles with hCards	1	31 Cannot handle non-empty timestamp argument!	0
31 Cannot handle non-empty timestamp argument!	1	" The Windsor Waltz "	Vera Lynn Category:Articles with hCards	11	31 Cannot handle non-empty timestamp argument!	0
31 Cannot handle non-empty timestamp argument!	1	" I'm Walking Behind You "	Dorothy Squires Category:Articles with hCards	12	31 Cannot handle non-empty timestamp argument!	0
5 Cannot handle non-empty timestamp argument!	5 [D ]	" Rachel "	Al Martino Category:Articles with hCards	10	5 Cannot handle non-empty timestamp argument!	0
5 Cannot handle non-empty timestamp argument!	1	" Bushel and a Peck "	Vivian Blaine Category:Articles with hCards	12	5 Cannot handle non-empty timestamp argument!	0
