District	Incumbent	Party	First elected	Results	Candidates
Florida 1	Jeff Miller	Republican	2001	Re-elected	Jeff Miller (R) 68.5% Joe Roberts (D) 31.5%
Florida 2	Allen Boyd	Democratic	1996	Re-elected	Allen Boyd (D) unopposed
Florida 3	Corrine Brown	Democratic	1992	Re-elected	Corrine Brown (D) unopposed
Florida 4	Ander Crenshaw	Republican	2000	Re-elected	Ander Crenshaw (R) 69.7% Bob Harms (D) 30.3%
Florida 6	Cliff Stearns	Republican	1988	Re-elected	Cliff Stearns (R) 59.9% Dave Bruderly (D) 40.1%
Florida 7	John Mica	Republican	1992	Re-elected	John Mica (R) 63.1% Jack Chagnon (D) 36.9%
Florida 9	Michael Bilirakis	Republican	1982	Retired Republican hold	Gus Bilirakis (R) 55.9% Phyllis Busansky (D) 44.1%
Florida 10	Bill Young	Republican	1970	Re-elected	Bill Young (R) 65.9% Samm Simpson (D) 34.1%
Florida 11	Jim Davis	Democratic	1996	Retired to run for Governor Democratic hold	Kathy Castor (D) 69.7% Eddie Adams (R) 30.3%
Florida 14	Connie Mack IV	Republican	2004	Re-elected	Connie Mack IV (R) 64.4% Robert Neeld (D) 35.6%
Florida 15	Dave Weldon	Republican	1994	Re-elected	Dave Weldon (R) 56.3% Bob Bowman (D) 43.7%
Florida 17	Kendrick Meek	Democratic	2002	Re-elected	Kendrick Meek (D) unopposed
Florida 19	Robert Wexler	Democratic	1996	Re-elected	Robert Wexler (D) unopposed
Florida 20	Debbie Wasserman Schultz	Democratic	2004	Re-elected	Debbie Wasserman Schultz (D) unopposed
Florida 23	Alcee Hastings	Democratic	1992	Re-elected	Alcee Hastings (D) unopposed
