Year	Delaware	Maryland	New Jersey	New York	Pennsylvania	Washington, D.C.
2001	Midway LL Wilmington	Easton LL Easton	Randolph West LL Randolph	Rolando Paulino LL Bronx	State College American LL State College	Capitol City LL
2002	Lower Sussex LL Frankford	South Caroline LL Preston	Nottingham LL Hamilton Square	Harlem LL Manhattan	Lehigh LL Bethlehem	Capitol City LL
2003	Naamans LL Wilmington	West Salisbury LL Salisbury	Freehold Township American LL Freehold	Ramapo LL Ramapo	Lower Perkiomen LL Collegeville	Capitol City LL
2004	Capitol LL Wilmington	South Caroline LL Preston	HTRBA LL Hamilton	Colonie LL Colonie	Deep Run Valley LL Hilltown	Capitol City LL
2005	Canal LL Bear	Thurmont LL Thurmont	Toms River American LL Toms River	Merrick-North Merrick LL Merrick	Council Rock Newtown LL Newtown	No tournament
2006	Naamans LL Wilmington	South Caroline LL Preston	Livingston American LL Livingston	Mid-Island LL Staten Island	Butler Township LL Butler Township	Capitol City LL
2007	M.O.T. LL Middletown	West Salisbury LL Salisbury	Randolph East LL Randolph	Maine-Endwell LL Endwell	Council Rock Northampton LL Northampton Township	Capitol City LL
2008	M.O.T. LL Middletown	Hagerstown Federal LL Hagerstown	Bordentown LL Bordentown	Haverstraw LL Haverstraw	Devon Strafford LL Devon	Capitol City LL
2009	M.O.T. LL Middletown	Conococheague LL Williamsport	Somerset Hills LL Bernardsville	South Shore National LL Staten Island	Moon Township LL Moon Township	Northwest Washington LL
2010	Brandywine LL Wilmington	Railroaders LL Brunswick	Toms River National LL Toms River	Stony Point LL Stony Point	Council Rock Newtown LL Newtown	Capitol City LL
2011	Newark National LL Newark	Conocoheague LL Williamsport	Paramus LL Paramus	Great Kills American LL Staten Island	Keystone LL Beech Creek	Northwest Washington LL
2012	Newark National LL Newark	West Salisbury LL Salisbury	Par-Troy East LL Parsippany	Stony Point LL Stony Point	Collier Township Athletic Association Collier	Northwest Washington LL
