Municipality	Population	Area km²	Density Population per km²	Area	County
Oslo	590,041	426	1,300	Oslo	Oslo
Lørenskog	32,894	67	455	Inner Circle North	Akershus
Nittedal	21,008	179	109	Inner Circle North	Akershus
Rælingen	15,611	56	263	Inner Circle North	Akershus
Skedsmo	47,945	75	552	Inner Circle North	Akershus
Enebakk	10,205	195	47	Inner Circle South	Akershus
Nesodden	17,380	61	264	Inner Circle South	Akershus
Oppegård	24,917	34	687	Inner Circle South	Akershus
Ski	28,120	162	164	Inner Circle South	Akershus
Bærum	111,637	189	547	Inner Circle West	Akershus
Aurskog-Høland	14,380	894	15	Outer Circle North	Akershus
Eidsvoll	20,781	385	48	Outer Circle North	Akershus
Fet	10,312	137	69	Outer Circle North	Akershus
Gjerdrum	5,843	82	61	Outer Circle North	Akershus
Hurdal	2,625	261	10	Outer Circle North	Akershus
Nannestad	10,982	324	31	Outer Circle North	Akershus
Nes	18,022	609	29	Outer Circle North	Akershus
Sørum	15,475	200	64	Outer Circle North	Akershus
Ullensaker	29,296	250	95	Outer Circle North	Akershus
Lunner	8,640	272	31	Outer Circle North	Oppland
Asker	54,890	91	522	Outer Circle West	Akershus
Hurum	9,055	156	56	Outer Circle West	Buskerud
Røyken	18,960	111	154	Outer Circle West	Buskerud
Frogn	14,667	85	155	Outer Circle South	Akershus
Vestby	14,398	134	96	Outer Circle South	Akershus
Ås	16,411	101	142	Outer Circle South	Akershus
Askim	14,894	66	212	Outer Circle South	Østfold
Eidsberg	10,807	229	44	Outer Circle South	Østfold
Hobøl	4,774	239	17	Outer Circle South	Østfold
Marker	3,471	368	9	Outer Circle South	Østfold
Rømskog	676	159	4	Outer Circle South	Østfold
Skiptvet	3,546	93	36	Outer Circle South	Østfold
Spydeberg	5,186	133	35	Outer Circle South	Østfold
Trøgstad	5,092	188	26	Outer Circle South	Østfold
Moss	30,093	58	478	Moss Region	Østfold
Rygge	14,315	70	196	Moss Region	Østfold
Råde	6,846	105	61	Moss Region	Østfold
Våler	4,472	239	17	Moss Region	Østfold
Drammen	62,815	135	420	Drammen Region	Buskerud
Lier	23,356	281	77	Drammen Region	Buskerud
Nedre Eiker	22,709	114	188	Drammen Region	Buskerud
Øvre Eiker	16,350	418	37	Drammen Region	Buskerud
Hof	3,061	149	20	Drammen Region	Vestfold
Holmestrand	10,059	84	113	Drammen Region	Vestfold
Sande	8,348	174	44	Drammen Region	Vestfold
Svelvik	6,478	56	115	Drammen Region	Vestfold
Total	1,422,442	8,894	160	data as of 2010	data as of 2010
