Rnd.	Pick #	NFL team	Pos.	College	Conf.
1	1	San Francisco 49ers	QB	Utah	MWC
1	2	Miami Dolphins	RB	Auburn	SEC
1	3	Cleveland Browns	WR	Michigan	Big Ten
1	4	Chicago Bears	RB	Texas	Big 12
1	5	Tampa Bay Buccaneers	RB	Auburn	SEC
1	6	Tennessee Titans	CB	West Virginia	Big East
1	7	Minnesota Vikings	WR	South Carolina	SEC
1	8	Arizona Cardinals	CB	Miami (FL)	ACC
1	9	Washington Redskins	CB	Auburn	SEC
1	10	Detroit Lions	WR	USC	Pac-10
1	11	Dallas Cowboys	LB	Troy	Sun Belt
1	12	San Diego Chargers	LB	Maryland	ACC
1	13	New Orleans Saints	OT	Oklahoma	Big 12
1	14	Carolina Panthers	LB	Georgia	SEC
1	15	Kansas City Chiefs	LB	Texas	Big 12
1	16	Houston Texans	DT	Florida State	ACC
1	17	Cincinnati Bengals	LB	Georgia	SEC
1	18	Minnesota Vikings	DE	Wisconsin	Big Ten
1	19	St. Louis Rams	OT	Florida State	ACC
1	20	Dallas Cowboys	DE	LSU	SEC
1	21	Jacksonville Jaguars	WR	Arkansas	SEC
1	22	Baltimore Ravens	WR	Oklahoma	Big 12
1	23	Oakland Raiders	CB	Nebraska	Big 12
1	24	Green Bay Packers	QB	California	Pac-10
1	25	Washington Redskins	QB	Auburn	SEC
1	26	Seattle Seahawks	C	Ole Miss	SEC
1	27	Atlanta Falcons	WR	UAB	C-USA
1	28	San Diego Chargers	DT	Northwestern	Big Ten
1	29	Indianapolis Colts	CB	Michigan	Big Ten
1	30	Pittsburgh Steelers	TE	Virginia	ACC
1	31	Philadelphia Eagles	DT	USC	Pac-10
1	32	New England Patriots	G	Fresno State	WAC
2	33	San Francisco 49ers	C	Michigan	Big Ten
2	34	Cleveland Browns	S	Oklahoma	Big 12
2	35	Philadelphia Eagles	WR	Georgia	SEC
2	36	Tampa Bay Buccaneers	LB	Nebraska	Big 12
2	37	Detroit Lions	DT	USC	Pac-10
2	38	Oakland Raiders	CB	Houston	C-USA
2	39	Chicago Bears	WR	Oklahoma	Big 12
2	40	New Orleans Saints	S	Nebraska	Big 12
2	41	Tennessee Titans	OT	Eastern Washington	Big Sky
2	42	Dallas Cowboys	LB	Tennessee	SEC
2	43	New York Giants	CB	LSU	SEC
2	44	Arizona Cardinals	RB	California	Pac-10
2	45	Seattle Seahawks	LB	USC	Pac-10
2	46	Miami Dolphins	DE	Iowa	Big Ten
2	47	New York Jets	K	Ohio State	Big Ten
2	48	Cincinnati Bengals	LB	Georgia	SEC
2	49	Minnesota Vikings	OT	Ole Miss	SEC
2	50	St. Louis Rams	CB	Howard	MEAC
2	51	Green Bay Packers	S	Bethune-Cookman	MEAC
2	52	Jacksonville Jaguars	OT	Washington	Pac-10
2	53	Baltimore Ravens	DE	Oklahoma	Big 12
2	54	Carolina Panthers	RB	Louisville	C-USA
2	55	Buffalo Bills	WR	Miami (FL)	ACC
2	56	Denver Broncos	CB	Oklahoma State	Big 12
2	57	New York Jets	CB	Clemson	ACC
2	58	Green Bay Packers	WR	Texas A&M	Big 12
2	59	Atlanta Falcons	DT	Iowa	Big Ten
2	60	Indianapolis Colts	CB	Illinois	Big Ten
2	61	San Diego Chargers	WR	Northern Colorado	Great West
2	62	Pittsburgh Steelers	CB	Florida State	ACC
