Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	56	1:35:54.235	1
David Coulthard	McLaren - Mercedes	56	+0.732	3
Rubens Barrichello	Ferrari	56	+18.444	4
Mika Häkkinen	McLaren - Mercedes	56	+35.269	2
Jacques Villeneuve	BAR - Honda	56	+1:10.692	6
Eddie Irvine	Jaguar - Cosworth	56	+1:12.568	7
Alexander Wurz	Benetton - Playlife	56	+1:29.314	5
Mika Salo	Sauber - Petronas	55	+1 Lap	17
Giancarlo Fisichella	Benetton - Playlife	55	+1 Lap	13
Jos Verstappen	Arrows - Supertec	55	+1 Lap	15
Jean Alesi	Prost - Peugeot	55	+1 Lap	18
Jarno Trulli	Jordan - Mugen-Honda	55	+1 Lap	9
Gastón Mazzacane	Minardi - Fondmetal	50	Engine	22
Johnny Herbert	Jaguar - Cosworth	48	Suspension	12
Ricardo Zonta	BAR - Honda	46	Engine	11
Ralf Schumacher	Williams - BMW	43	Engine	8
Marc Gené	Minardi - Fondmetal	36	Wheel	21
Jenson Button	Williams - BMW	18	Engine	16
Heinz-Harald Frentzen	Jordan - Mugen-Honda	7	Electrical	10
Pedro de la Rosa	Arrows - Supertec	0	Collision	14
Nick Heidfeld	Prost - Peugeot	0	Collision	19
Pedro Diniz	Sauber - Petronas	0	Collision	20
