Round	Pick	Player	Position	School/Club Team
1	14	Ruben Brown	Guard	Pittsburgh
2	45	Todd Collins	Quarterback	Michigan
3	76	Marlon Kerner	Defensive back	Ohio State
3	96	Damien Covington	Linebacker	North Carolina State
4	109	Ken Irvin	Defensive back	Memphis
4	113	Justin Armour	Wide receiver	Stanford
4	131	Tony Cline	Tight end	Stanford
5	144	John Holecek	Linebacker	Illinois
6	185	Shannon Clavelle	Defensive tackle	Colorado
7	221	Tom Nütten	Center	Western Michigan
7	244	Darick Holmes	Running back	Portland State
