Player	Nationality	Position	Years for Grizzlies	School/Club Team
Mahmoud Abdul-Rauf Category:Articles with hCards	United States	Point guard	2000-2001	LSU
Shareef Abdur-Rahim Category:Articles with hCards	United States	Forward	1996-2001	California
Tony Allen Category:Articles with hCards	United States	Guard	2010–present	Oklahoma State
Ashraf Amaya Category:Articles with hCards	United States	Small forward	1995-1996	Southern Illinois
Nick Anderson Category:Articles with hCards	United States	Guard/Forward	2001-2002	Illinois
Greg Anthony Category:Articles with hCards	United States	Point guard	1995-1997	UNLV
Robert Archibald Category:Articles with hCards	Scotland	Forward/Center	2002-2003	Illinois
Gilbert Arenas Category:Articles with hCards	United States	Guard	2012	Arizona
Darrell Arthur Category:Articles with hCards	United States	Forward	2009-2013	Kansas
Chucky Atkins Category:Articles with hCards	United States	Point guard	2006-2007	South Florida
Isaac Austin Category:Articles with hCards	United States	Center	2000-2002	Arizona State
Anthony Avent Category:Articles with hCards	United States	Power forward	1995-1996	Seton Hall
