Season	Timeslot	Premiere	Finale	TV season	Ranking	Viewers (in millions)
1st	Wednesday 8:30 p.m.	October 3, 2001	May 15, 2002	2001–2002	#55	10.0
2nd	Tuesday 8:30 p.m.	October 1, 2002	May 20, 2003	2002–2003	#51	10.3
3rd	Tuesday 9:00 p.m.	September 23, 2003	May 25, 2004	2003–2004	#51	10.0
4th	Tuesday 9:00 p.m.	September 21, 2004	May 17, 2005	2004–2005	#47	10.0
5th	Tuesday 8:00 p.m.	September 20, 2005	May 2, 2006	2005–2006	#90	6.7
6th	Wednesday 9:00 p.m.	January 3, 2007	May 16, 2007	2006–2007	#119	6.8
7th	Tuesday 9:00 p.m.	January 1, 2008	March 11, 2008	2007–2008	#146	5.3
7th	Tuesday 8:30 p.m.	April 15, 2008	May 27, 2008	2007–2008	#171	4.1
8th	Tuesday 9:00 p.m.	December 2, 2008	December 30, 2008	2008–2009	#104	5.6
8th	Tuesday 9:30 p.m.	December 2, 2008	December 30, 2008	2008–2009	#127	4.8
8th	Tuesday 8:00 p.m.	April 14, 2009	June 2, 2009	2008–2009	#148	3.8
8th	Tuesday 8:30 p.m.	April 14, 2009	June 2, 2009	2008–2009	#149	3.8
