Episode	First broadcast	Rufus guest	Marcus guest	Winner
3x01	2 February 2010	Johnny Vegas	Chris Addison	Blue (4–0)
3x02	9 February 2010	Sarah Millican	Jimmy Carr	Red (3–1)
3x03	16 February 2010	Jack Whitehall	Mark Watson	Blue (3–2)
3x04	23 February 2010	Stephen K. Amos	Sean Lock	Blue (3–2)
3x05	2 March 2010	Mark Watson	Katy Brand	Red (3–2)
3x06	9 March 2010	Sean Lock	Dom Joly	Blue (4–1)
3x07	28 September 2010	Jimmy Carr	Will Smith	Red (3–2)
3x08	5 October 2010	Chris Addison	Katy Brand	Red (3–2)
3x09	12 October 2010	Stephen K. Amos	Jack Whitehall	Red (3–2)
3x10	19 October 2010	Ben Miller	Sean Lock	Red (3–2)
3x11	26 October 2010	Richard Herring	Stephen Mangan	Red (3–2)
3x12	2 November 2010	Sarah Millican	Sean Lock	Red (4–1)
