Week	Date	Opponent	Location	Time ( ET )	Result	Record
1	Sun. Sep. 13	San Francisco 49ers	Three Rivers Stadium	1:00 pm	W 30–17	1–0
2	Sun. Sep. 20	at Cleveland Browns	Cleveland Municipal Stadium	1:00 pm	L 34–10	1–1
3	Sun. Sep. 27	New York Jets	Three Rivers Stadium	4:00 pm	Canceled	1–1
4	Sun. Oct. 4	at Atlanta Falcons	Atlanta-Fulton County Stadium	1:00 pm	W 28–12	2–1
5	Sun. Oct. 11	at Los Angeles Rams	Anaheim Stadium	4:00 pm	L 31–21	2–2
6	Sun. Oct. 18	Indianapolis Colts	Three Rivers Stadium	1:00 pm	W 21–7	3–2
7	Sun. Oct. 25	Cincinnati Bengals	Three Rivers Stadium	1:00 pm	W 23–20	4–2
8	Sun. Nov. 1	at Miami Dolphins	Joe Robbie Stadium	1:00 pm	L 35–24	4–3
9	Sun. Nov. 8	at Kansas City Chiefs	Arrowhead Stadium	1:00 pm	W 17–16	5–3
10	Sun. Nov. 15	Houston Oilers	Three Rivers Stadium	1:00 pm	L 23–3	5–4
11	Sun. Nov. 22	at Cincinnati Bengals	Riverfront Stadium	1:00 pm	W 30–16	6–4
12	Sun. Nov. 29	New Orleans Saints	Three Rivers Stadium	1:00 pm	L 20–16	6–5
13	Sun. Dec. 6	Seattle Seahawks	Three Rivers Stadium	1:00 pm	W 13–9	7–5
14	Sun. Dec. 13	at San Diego Chargers	Jack Murphy Stadium	4:00 pm	W 20–16	8–5
15	Sun. Dec. 20	at Houston Oilers	Astrodome	1:00 pm	L 24–16	8–6
16	Sat. Dec. 26	Cleveland Browns	Three Rivers Stadium	12:30 pm	L 19–13	8–7
