Institution	Location	Founded	Type	Enrollment	Joined	Nickname	Primary Conference when joining the MSFA	Current Primary Conference
Concordia University (Michigan)	Ann Arbor, Michigan	1963	Private	800	2011	Cardinals	WHAC	WHAC
Marian University	Indianapolis, Indiana	1851	Private	1800	2007	Knights	Crossroads	Crossroads
University of Saint Francis (IN)	Fort Wayne, Indiana	1890	Private	1883	1998	Cougars	Crossroads	Crossroads
Saint Xavier University	Chicago, Illinois	1846	Private	5028	1994	Cougars	CCAC	CCAC
Siena Heights University	Adrian, Michigan	1919	Private	2274	2012	Saints	WHAC	WHAC
Taylor University	Upland, Indiana	1846	Private	1887	1994	Trojans	Crossroads	Crossroads
Grand View University	Des Moines, Iowa	1896	Private	1750	2008	Vikings	MCC	MCC
Olivet Nazarene University	Bourbonnais, Illinois	1907	Private	4666	1994	Tigers	CCAC	CCAC
St. Ambrose University	Davenport, Iowa	1882	Private	3623	1996	Fighting Bees	MCC	MCC
University of St. Francis (IL)	Joliet, Illinois	1920	Private	3352	2000	Fighting Saints	CCAC	CCAC
Trinity International University	Deerfield, Illinois	1897	Private	2730	1994	Trojans	CCAC	CCAC
Waldorf College	Forest City, Iowa	1903	Private	650	2009	Warriors	MCC	MCAC
William Penn University	Oskaloosa, Iowa	1873	Private	1550	2003	Statesmen	MCC	MCC
