Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	6-4	Pablo Vargas	TKO (punches)	Conviction MMA 2 - Consolidation	1	2:48	Buenos Aires , Argentina
Win	5-4	Guido Carlo	TKO (punches)	TKO 34 - Sims vs. Bosse	1	4:21	Montreal , Quebec , Canada
Loss	4-4	Sebastien Gauthier	Decision (majority)	XMMA 4 - Xtreme MMA	3	5:00	Saguenay , Quebec , Canada
Win	4-3	Steve Bossé	TKO (punches)	TKO 31 - Young Guns	3	3:31	Montreal , Quebec , Canada
Loss	3-3	Krzysztof Soszynski	TKO (doctor stoppage)	TKO 27 - Reincarnation	3	0:00	Montreal , Quebec , Canada
Loss	3-2	Tom Murphy	TKO (punches)	UFC 58	3	1:59	Las Vegas, Nevada , United States
Win	3-1	Jacob Conliffe	TKO (punches)	TKO 20 - Champion vs Champion	2	1:38	Montreal , Quebec , Canada
Win	2-1	Yan Pellerin	TKO (corner stoppage)	TKO 18 - Impact	1	5:00	Montreal , Quebec , Canada
Win	1-1	Brian MaGee	TKO (punches)	TKO 17 - Revenge	1	0:17	Victoriaville , Quebec , Canada
Loss	0-1	Todd Gouwenberg	TKO (punches)	TKO 16 - Infernal	2	2:23	Quebec City , Quebec , Canada
