Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 24	MasterCard Championship	Hawaii	1,100,000	John Jacobs (2)	203 (-13)	185,000
Feb 7	Royal Caribbean Classic	Florida	1,000,000	Bruce Fleisher (1)	205 (-8)	150,000
Feb 14	American Express Invitational	Florida	1,200,000	Bruce Fleisher (2)	203 (-13)	180,000
Feb 21	GTE Classic	Florida	1,200,000	Larry Nelson (4)	205 (-8)	180,000
Feb 28	The ACE Group Classic	Florida	1,200,000	Allen Doyle (1)	203 (-13)	180,000
Mar 14	Toshiba Senior Classic	California	1,200,000	Gary McCord (1)	204 (-9)	180,000
Mar 28	Emerald Coast Classic	Florida	1,100,000	Bob Duval (1)	200 (-10)	165,000
Apr 4	The Tradition	Arizona	1,500,000	Graham Marsh (6)	136 (-8)	225,000
Apr 18	PGA Seniors' Championship	Florida	1,500,000	Allen Doyle (2)	274 (-14)	315,000
Apr 25	The Home Depot Invitational	North Carolina	1,200,000	Bruce Fleisher (3)	205 (-11)	180,000
May 2	Bruno's Memorial Classic	Alabama	1,200,000	Larry Nelson (5)	205 (-11)	180,000
May 9	Nationwide Championship	Georgia	1,400,000	Hale Irwin (21)	206 (-10)	210,000
May 16	Las Vegas Senior Classic	Nevada	1,400,000	Vicente Fernandez (3)	274 (-13)	210,000
May 23	Bell Atlantic Classic	Pennsylvania	1,100,000	Tom Jenkins (1)	206 (-10)	165,000
May 30	Boone Valley Classic	Missouri	1,400,000	Hale Irwin (22)	203 (-13)	210,000
Jun 6	Cadillac NFL Golf Classic	New Jersey	1,100,000	Allen Doyle (3)	202 (-12)	165,000
Jun 13	BellSouth Senior Classic at Opryland	Tennessee	1,400,000	Bruce Fleisher (4)	200 (-16)	210,000
Jun 20	Southwestern Bell Dominion	Texas	1,100,000	John Mahaffey (1)	204 (-12)	165,000
Jun 27	Ford Senior Players Championship	Michigan	2,000,000	Hale Irwin (23)	267 (-21)	300,000
Jul 4	State Farm Senior Classic	Maryland	1,300,000	Christy O'Connor Jnr (1)	198 (-18)	195,000
Jul 11	U.S. Senior Open	Iowa	1,500,000	Dave Eichelberger (4)	281 (-7)	315,000
Jul 18	Ameritech Senior Open	Illinois	1,300,000	Hale Irwin (24)	206 (-10)	195,000
Jul 25	Coldwell Banker Burnet Classic	Minnesota	1,500,000	Hale Irwin (25)	201 (-15)	225,000
Aug 1	Novell Utah Showdown	Utah	1,350,000	Dave Eichelberger (5)	197 (-19)	202,500
Aug 8	Lightpath Long Island Classic	New York	1,200,000	Bruce Fleisher (5)	206 (-10)	180,000
Aug 15	Foremost Insurance Championship	Michigan	1,000,000	Christy O'Connor Jnr (2)	205 (-11)	150,000
Aug 22	BankBoston Classic	Massachusetts	1,200,000	Tom McGinnis (1)	205 (-11)	180,000
Aug 29	AT&T Canada Senior Open Championship	Canada	1,350,000	Jim Ahern (1)	272 (-16)	202,500
Sep 5	TD Waterhouse Championship	Missouri	1,200,000	Allen Doyle (4)	198 (-18)	180,000
Sep 12	Comfort Classic	Indiana	1,200,000	Gil Morgan (14)	201 (-15)	180,000
Sep 19	Bank One Championship	Texas	1,300,000	Tom Watson (1)	196 (-20)	195,000
Sep 26	Kroger Senior Classic	Ohio	1,400,000	Gil Morgan (15)	198 (-12)	210,000
Oct 3	Vantage Championship	North Carolina	1,500,000	Fred Gibson (1)	195 (-15)	225,000
Oct 10	The Transamerica	California	1,100,000	Bruce Fleisher (6)	199 (-17)	165,000
Oct 17	Raley's Gold Rush Classic	California	1,000,000	David Graham (5)	199 (-17)	165,000
Oct 24	EMC Kaanapali Classic	Hawaii	1,000,000	Bruce Fleisher (7)	199 (-14)	150,000
Oct 31	Pacific Bell Senior Classic	California	1,200,000	Joe Inman (2)	199 (-14)	180,000
Nov 7	Ingersoll-Rand Senior Tour Championship	South Carolina	2,000,000	Gary McCord (2)	276 (-12)	347,000
