Tie no	Home team	Score	Away team	Attendance
1	Aston Villa	0–1	Coventry City	14 February 1998
2	Sheffield United	1–0	Reading	13 February 1998
3	Newcastle United	1–0	Tranmere Rovers	14 February 1998
4	West Ham United	2–2	Blackburn Rovers	14 February 1998
Replay	Blackburn Rovers	1–1	West Ham United	25 February 1998
West Ham United won 5–4 on penalties	West Ham United won 5–4 on penalties	West Ham United won 5–4 on penalties	West Ham United won 5–4 on penalties	West Ham United won 5–4 on penalties
5	Manchester United	1–1	Barnsley	15 February 1998
Replay	Barnsley	3–2	Manchester United	25 February 1998
6	Wimbledon	1–1	Wolverhampton Wanderers	14 February 1998
Replay	Wolverhampton Wanderers	2–1	Wimbledon	25 February 1998
7	Arsenal	0–0	Crystal Palace	15 February 1998
Replay	Crystal Palace	1–2	Arsenal	25 February 1998
8	Leeds United	3–2	Birmingham City	14 February 1998
