Driver	Constructor	Laps	Time/Retired	Grid
Niki Lauda	Ferrari	70	1:43:53.98	1
Jody Scheckter	Tyrrell - Ford	70	+ 19.22	9
Carlos Reutemann	Brabham - Ford	70	+ 41.82	6
Patrick Depailler	Tyrrell - Ford	70	+ 1:00.08	12
Clay Regazzoni	Ferrari	70	+ 1:03.84	4
Tom Pryce	Shadow - Ford	70	+ 1:28.45	5
Emerson Fittipaldi	McLaren - Ford	69	+ 1 Lap	8
Carlos Pace	Brabham - Ford	69	+ 1 Lap	2
Bob Evans	BRM	68	+ 2 Laps	20
John Watson	Surtees - Ford	68	+ 2 Laps	18
Mark Donohue	Penske - Ford	67	+ 3 Laps	21
Wilson Fittipaldi	Fittipaldi - Ford	67	+ 3 Laps	24
François Migault	Hill - Ford	57	Suspension	22
Vittorio Brambilla	March - Ford	54	Brakes	3
Jacky Ickx	Lotus - Ford	52	Brakes	16
Ronnie Peterson	Lotus - Ford	36	Brakes	14
Jacques Laffite	Williams - Ford	18	Gearbox	23
Lella Lombardi	March - Ford	18	Engine	17
Tony Brise	Hill - Ford	17	Engine	7
James Hunt	Hesketh - Ford	15	Transmission	11
Jean-Pierre Jarier	Shadow - Ford	13	Spun Off	10
Arturo Merzario	Williams - Ford	2	Clutch	19
Alan Jones	Hesketh - Ford	1	Accident	13
Jochen Mass	McLaren - Ford	0	Accident	15
