Res.	Record	Opponent	Type	Rd., Time	Date
Win	28–3	Julio Díaz	UD	12	2013-04-27
Win	27–3	Carlos Molina	TKO	10 (12), 3:00	2012-12-15
Loss	26–3	Danny García	TKO	4 (12), 2:28	2012-07-14
Loss	26–2	Lamont Peterson	SD	12	2011-12-10
Win	26–1	Zab Judah	KO	5 (12), 2:47	2011-07-23
Win	25–1	Paul McCloskey	TD	6 (12), 2:30	2011-04-16
Win	24–1	Marcos Maidana	UD	12	2010-12-11
Win	23–1	Paulie Malignaggi	TKO	11 (12), 1:25	2010-05-15
Win	22–1	Dmitry Salita	TKO	1 (12), 1:16	2009-12-05
Win	21–1	Andreas Kotelnik	UD	12	2009-07-18
Win	20–1	Marco Antonio Barrera	TD	5 (12), 2:36	2009-03-14
Win	19–1	Oisin Fagan	TKO	2 (12), 1:37	2008-12-06
Loss	18–1	Breidis Prescott	TKO	1 (12), 0:55	2008-09-06
Win	18–0	Michael Gomez	TKO	5 (12), 2:33	2008-06-21
Win	17–0	Martin Kristjansen	TKO	7 (12), 2:53	2008-04-05
Win	16–0	Gairy St. Clair	UD	12	2008-02-02
Win	15–0	Graham Earl	TKO	1 (12), 1:12	2007-12-08
Win	14–0	Scott Lawton	TKO	4 (12), 0:32	2007-10-06
Win	13–0	Willie Limond	TKO	8 (12), 3:00	2007-07-14
Win	12–0	Steffy Bull	TKO	3 (8), 1:45	2007-04-07
Win	11–0	Mohammed Medjadi	TKO	1 (8), 0:55	2007-02-17
Win	10–0	Rachid Drilzane	UD	10	2006-12-09
Win	9–0	Ryan Barrett	TKO	1 (6), 1:51	2006-09-02
Win	8–0	Colin Bain	TKO	2 (6), 2:20	2006-07-08
Win	7–0	Laszlo Komjathi	UD	6	2006-05-20
Win	6–0	Jackson Williams	TKO	3 (6), 2:16	2006-02-25
Win	5–0	Vitali Martynov	TKO	1 (6), 1:15	2006-01-28
Win	4–0	Daniel Thorpe	TKO	2 (4), 2:57	2005-12-10
Win	3–0	Steve Gethin	TKO	3 (4), 0:49	2005-11-05
Win	2–0	Baz Carey	UD	4	2005-09-10
Win	1–0	David Bailey	TKO	1 (4), 1:49	2005-07-16
