Player	Nationality	Finals	Win-Loss	Year(s)
Billie Jean King Category:Articles with hCards	United States	4	3–1	1969 , 1971 *, 1972 *, 1974 *
Kim Clijsters Category:Articles with hCards	Belgium	4	3–1	2003 , 2005 *, 2009 *, 2010 *
Monica Seles Category:Articles with hCards	Yugoslavia United States [b ]	4	2–2	1991 *, 1992 *, 1995 , 1996
Venus Williams Category:Articles with hCards +	United States	4	2–2	1997 , 2000 *, 2001 *, 2002
Margaret Court Category:Articles with hCards	Australia	3	3–0	1969 *, 1970 *, 1973 *
Justine Henin Category:Articles with hCards	Belgium	3	2–1	2003 *, 2006 , 2007 *
Hana Mandlíková Category:Articles with hCards	Czechoslovakia	3	1–2	1980 , 1982 , 1985 *
Martina Hingis Category:Articles with hCards	Switzerland	3	1–2	1997 *, 1998 , 1999
Tracy Austin Category:Articles with hCards	United States	2	2–0	1979 *, 1981 *
Gabriela Sabatini Category:Articles with hCards	Argentina	2	1–1	1988 , 1990 *
Lindsay Davenport Category:Articles with hCards	United States	2	1–1	1998 *, 2000
Svetlana Kuznetsova Category:Articles with hCards	Russia	2	1–1	2004 *, 2007
Rosemary Casals Category:Articles with hCards	United States	2	0–2	1970 , 1971
Helena Suková Category:Articles with hCards	Czechoslovakia	2	0–2	1986 , 1993
Victoria Azarenka Category:Articles with hCards +	Belarus	2	0–2	2012 , 2013
Virginia Wade Category:Articles with hCards	United Kingdom	1	1–0	1968 *
Maria Sharapova Category:Articles with hCards	Russia	1	1–0	2006 *
Samantha Stosur Category:Articles with hCards +	Australia	1	1–0	2011 *
Nancy Richey Category:Articles with hCards	United States	1	0–1	1969
Kerry Melville Reid Category:Articles with hCards	Australia	1	0–1	1972
Wendy Turnbull Category:Articles with hCards	Australia	1	0–1	1977
Pam Shriver Category:Articles with hCards	United States	1	0–1	1978
Elena Dementieva Category:Articles with hCards	Russia	1	0–1	2004
Mary Pierce Category:Articles with hCards	France	1	0–1	2005
Jelena Janković Category:Articles with hCards +	Serbia	1	0–1	2008
Caroline Wozniacki Category:Articles with hCards +	Denmark	1	0–1	2009
