Branding	Callsign	Ch. #	Station Type	Power kW (ERP)	Location (Transmitter Site)
Studio 23 Manila	DWAC-TV	TV-23	Originating	50kW (10,000kW ERP)	Metro Manila **
Studio 23 Baguio (Channel-30)	DWZO-TV	TV-30	Relay Station	10kW (10,000kW ERP)	Baguio **
Studio 23 Mt. Province	DWGF-TV	TV-23	Relay Station	1kW	Mt. Amuyao, Barlig, Mountain Province
Studio 23 Laoag	DWLC-TV	TV-23	Relay Station	1kW (11.25kW ERP)	Laoag ****
Studio 23 Vigan (Channel-34)	DWBK-TV	TV-34	Relay Station	1kW	Vigan **
Studio 23 Dagupan (Channel-30)	DWGE-TV	TV-30	Originating	10kW	Dagupan **
Studio 23 Tuguegarao (Channel-35)	DWST-TV	TV-35	Relay Station	1kW (8.94kW ERP)	Tuguegarao
Studio 23 Isabela	DWWA-TV	TV-23	Relay Station	0.1kW (1.1165kW ERP)	Santiago, Isabela ****
Studio 23 Bayombong	DWXW-TV	TV-23	Relay Station	0.1kW (1.1165kW ERP)	Bayombong, Nueva Vizcaya ****
Studio 23 Botolan	DZAM-TV	TV-23	Relay Station	0.1kW (3.998kW ERP)	Botolan, Zambales ****
Studio 23 Pampanga (Channel-24)	DWIP-TV	TV-24	Relay Station	1kW (8.94kW ERP)	San Fernando, Pampanga ****
Studio 23 Olongapo (Channel-24)	DWAS-TV	TV-24	Relay Station	1kW (8.94kW ERP)	Olongapo ****
Studio 23 Bulacan (Channel-46)	DWBU-TV	TV-46	Relay Station	1kW (8.94kW ERP)	San Miguel, Bulacan ****
Studio 23 Baler (Channel-36)	DWBA-TV	TV-36	Relay Station	1kW (11.25kW ERP)	Baler, Aurora ****
Studio 23 Batangas (Channel-36)	DWJR-TV	TV-36	Relay Station	1kW (11.25kW ERP)	Batangas ****
Studio 23 Lucena (Channel-36)	DZLC-TV	TV-36	Relay Station	1kW (11.25kW ERP)	Lucena ****
Studio 23 Rizal (Channel-36)	DWJJ-TV	TV-36	Relay Station	1kW (11.25kW ERP)	Jala-Jala, Rizal ****
Studio 23 San Pablo (Channel-36)	DWSP-TV	TV-36	Relay Station	1kW (11.25kW ERP)	San Pablo, Laguna ****
Studio 23 Occidental Mindoro (Channel-36)	DZOM-TV	TV-36	Relay Station	1kW (11.25kW ERP)	San Jose, Occidental Mindoro ****
Studio 23 Palawan	DZEL-TV	TV-23	Relay Station	1kW (8.62kW ERP)	Puerto Princesa ****
Studio 23 Naga (Channel-24)	DWMC-TV	TV-24	Relay Station	10kW (215.05kW ERP)	Naga ****
Studio 23 Legazpi	DWDR-TV	TV-23	Relay Station	5kW (20kW ERP)	Legazpi ***
Studio 23 Albay (Channel 24)	DWTD-TV	TV-24	Relay Station	1kW	Tabaco, Albay ***
Studio 23 Daet	DWRC-TV	TV-23	Relay Station	10kW (26.04kW ERP)	Daet, Camarines Norte ****
Studio 23 Masbate (Channel 24)	DYMV-TV	TV-24	Relay Station	1kW	Masbate **
Studio 23 Sorsogon (Channel 49)	DZAM-TV	TV-49	Relay Station	1kW	Sorsogon ****
Studio 23 Kalibo	DYCG-TV	TV-23	Relay Station	1kW (8.45kW ERP)	Kalibo, Aklan ****
Studio 23 Roxas (Channel-29)	DYRY-TV	TV-29	Planned	1kW (8.45kW ERP)	Roxas ****
Studio 23 Iloilo (Channel-38)	DYAJ-TV	TV-38	Relay Station	5kW (29.11kW ERP)	Iloilo **
Studio 23 Bacolod (Channel-22)	DYEC-TV	TV-22	Relay Station	10kW (360.34kW ERP)	Bacolod ****
Studio 23 Cebu	DYAC-TV	TV-23	Relay Station	10kW (138.70kW ERP)	Cebu ****
Studio 23 Dumaguete (Channel-24)	DYEL-TV	TV-24	Relay Station	10kW (298.25kW ERP)	Dumaguete ****
Studio 23 Bohol (Channel-40)	DYJN-TV	TV-40	Relay Station	1kW (11.25kW ERP)	Jagna, Bohol ****
Studio 23 Tacloban (Channel-24)	DYTC-TV	TV-24	Relay Station	5kW (10kW ERP)	Tacloban ***
Studio 23 Catbalogan (Channel-31)	DYZX-TV	TV-31	Relay Station	1kW (10kW ERP)	Catbalogan ****
Studio 23 Calbayog (Channel-24)	DYCO-TV	TV-24	Relay Station	1kW (10kW ERP)	Calbayog ****
Studio 23 Zamboanga	DXFH-TV	TV-23	Relay Station	10kW (215.05kW ERP)	Zamboanga ****
Studio 23 Dipolog (Channel-46)	DXDI-TV	TV-46	Relay Station	1kW (11.25kW ERP)	Dipolog ****
Studio 23 Pagadian	DXAE-TV	TV-23	Relay Station	10kW (215.05kW ERP)	Pagadian **
Studio 23 Cagayan de Oro	DXCE-TV	TV-23	Relay Station	10kW (367.35kW ERP)	Cagayan de Oro ****
Studio 23 Bukidnon	DXBI-TV	TV-23	Relay Station	1kW	Mt. Kitanglad, Bukidnon **
Studio 23 Ozamis	DXOZ-TV	TV-23	Relay Station	1kW	Ozamiz **
Studio 23 Iligan (Channel-26)	DXAM-TV	TV-26	Relay Station	5kW (19.7kW ERP)	Iligan ***
Studio 23 Davao	DXAB-TV	TV-23	Relay Station	10kW (188.16kW ERP)	Davao *
Studio 23 Mati (Channel-36)	DXEK-TV	TV-36	Relay Station	1kW	Mati, Davao Oriental ***
Studio 23 General Santos (Channel-36)	DXAC-TV	TV-36	Relay Station	10kW (215kW ERP)	General Santos ****
Studio 23 Koronadal (Channel 24)	DXAR-TV	TV-24	Relay Station	1kW (8.94kW ERP)	Koronadal ****
Studio 23 Kidapawan (Channel 26)	DXKI-TV	TV-26	Relay Station	1kW (2.1kW ERP)	Kidapawan ****
Studio 23 Butuan (Channel 24)	DXBU-TV	TV-24	Relay Station	5kW (7.82kW ERP)	Butuan ***
Studio 23 Surigao (Channel 23)	DXIT-TV	TV-23	Relay Station	1kW (2.1kW ERP)	Surigao ***
Studio 23 Cotabato (Channel-25)	DXPR-TV	TV-25	Relay Station	5kW (9.84kW ERP)	Cotabato ***
