Location	Year	Champion	Runner-up	Score
Milan	2005	Robin Söderling	Radek Štěpánek	6–3, 6–7 (2–7) , 7–6 (7–5)
Milan	2004	Antony Dupuis	Mario Ančić	6–4, 6–7 (12–14) , 7–6 (7–5)
Milan	2003	Martin Verkerk	Yevgeny Kafelnikov	6–4, 5–7, 7–5
Milan	2002	Davide Sanguinetti	Roger Federer	7–6 (7–2) , 4–6, 6–1
Milan	2001	Roger Federer	Julien Boutter	6–4, 6–7 (7–9) , 6–4
London	2000	Marc Rosset	Yevgeny Kafelnikov	6–4, 6–4
London	1999	Richard Krajicek	Greg Rusedski	7–6 (8–6) , 6–7 (5–7) , 7–5
London	1998	Yevgeny Kafelnikov	Cédric Pioline	7–5, 6–4
Milan	1997	Goran Ivanišević	Sergi Bruguera	6–2, 6–2
Milan	1996	Goran Ivanišević	Marc Rosset	6–3, 7–6 (7–3)
Milan	1995	Yevgeny Kafelnikov	Boris Becker	7–5, 5–7, 7–6 (8–6)
Milan	1994	Boris Becker	Petr Korda	6–2, 3–6, 6–3
Milan	1993	Boris Becker	Sergi Bruguera	6–3, 6–3
Milan	1992	Omar Camporese	Goran Ivanišević	3–6, 6–3, 6–4
Milan	1991	Alexander Volkov	Cristiano Caratti	6–1, 7–5
Milan	1990	Ivan Lendl	Tim Mayotte	6–3, 6–2
Milan	1989	Boris Becker	Alexander Volkov	6–1, 6–2
Milan	1988	Yannick Noah	Jimmy Connors	4–4 retired
Milan	1987	Boris Becker	Miloslav Mečíř	6–4, 6–3
Milan	1986	Ivan Lendl	Joakim Nyström	6–2, 6–2, 6–4
Milan	1985	John McEnroe	Anders Järryd	6–4, 6–1
Milan	1984	Stefan Edberg	Mats Wilander	6–4, 6–2
Milan	1983	Ivan Lendl	Kevin Curren	5–7, 6–3, 7–6
Milan	1982	Guillermo Vilas	Jimmy Connors	6–3, 6–3
Milan	1981	John McEnroe	Björn Borg	7–6, 6–4
Milan	1980	John McEnroe	Vijay Amitraj	6–1, 6–4
Milan	1979	John McEnroe	John Alexander	6–4, 6–3
Milan	1978	Björn Borg	Vitas Gerulaitis	6–3, 6–3
