Place	Player	Country	Score	To par	Money ( $ )
T1	Arnold Palmer	United States	70-66-69-75=280	–8	Playoff
T1	Gary Player	South Africa	67-71-71-71=280	–8	Playoff
T1	Dow Finsterwald	United States	74-68-65-73=280	–8	Playoff
4	Gene Littler	United States	71-68-71-72=282	–6	6,000
T5	Jerry Barber	United States	72-72-69-74=287	–1	3,600
T5	Jimmy Demaret	United States	73-73-71-70=287	–1	3,600
T5	Billy Maxwell	United States	71-73-72-71=287	–1	3,600
T5	Mike Souchak	United States	70-72-74-71=287	–1	3,600
T9	Charles Coe (a)	United States	72-74-71-71=288	E	0
T9	Ken Venturi	United States	75-70-71-72=288	E	2,000
