Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Terry Austin	FW	20 (1)	2	5	1	2 (2)	1	27 (3)	4
Graham Bell	MF	2	0	0	0	0	0	2	0
Malcolm Brown	DF	46	1	6	2	4	0	56	3
David Burke	DF	41	1	4	0	4	0	49	1
David Cowling	MF	36 (2)	8	6	1	1 (1)	0	43 (3)	9
Brian Cox	GK	14	0	0	0	0	0	14	0
Peter Fletcher	FW	22 (4)	7	4 (1)	3	3	4	29 (5)	14
Keith Hanvey	DF	43	4	6	0	3	0	52	4
Timothy Hotte	FW	13 (1)	4	0	0	0	0	13 (1)	4
Mick Kennedy	MF	39	7	4	0	4	0	47	7
Steve Kindon	FW	10	3	0	0	3	1	13	4
Mick Laverick	MF	4	3	2	2	0	0	6	5
Mark Lillis	MF	42	5	6	1	4	0	52	6
Bernard Purdie	DF	11 (4)	1	2 (2)	0	2	0	15 (6)	1
Andy Rankin	GK	19	0	0	0	4	0	23	0
Ian Robins	FW	26 (6)	7	3 (1)	1	3	1	32 (7)	9
Steve Smith	DF	0	0	1	0	0	0	1	0
Brian Stanton	MF	31	3	4	0	0	0	35	3
Dave Sutton	DF	29	0	6	0	4	0	39	0
Dick Taylor	GK	13	0	6	0	0	0	19	0
Peter Valentine	DF	14	1	0	0	0	0	14	1
Phil Wilson	MF	31 (3)	2	1	0	4	1	36 (3)	3
