Player	Nationality	Finals	Win-Loss	Year(s)
Billie Jean King Category:Articles with hCards	United States	6	4–2	1968 *, 1969 , 1970 , 1972 *, 1973 *, 1975 *
Jana Novotná Category:Articles with hCards	Czech Republic	3	1–2	1993 , 1997 , 1998 *
Lindsay Davenport Category:Articles with hCards	United States	3	1–2	1999 *, 2000 , 2005
Margaret Court Category:Articles with hCards	Australia	2	1–1	1970 *, 1971
Maria Sharapova Category:Articles with hCards +	Russia	2	1–1	2004 *, 2011
Marion Bartoli Category:Articles with hCards +	France	2	1–1	2007 , 2013 *
Hana Mandlíková Category:Articles with hCards	Czechoslovakia	2	0–2	1981 , 1986
Justine Henin Category:Articles with hCards	Belgium	2	0–2	2001 , 2006
Ann Haydon-Jones Category:Articles with hCards	United Kingdom	1	1–0	1969 *
Virginia Wade Category:Articles with hCards	United Kingdom	1	1–0	1977 *
Conchita Martínez Category:Articles with hCards	Spain	1	1–0	1994 *
Martina Hingis Category:Articles with hCards	Switzerland	1	1–0	1997 *
Amélie Mauresmo Category:Articles with hCards	France	1	1–0	2006 *
Petra Kvitová Category:Articles with hCards +	Czech Republic	1	1–0	2011 *
Judy Tegart Dalton Category:Articles with hCards	Australia	1	0–1	1968
Olga Morozova Category:Articles with hCards	Soviet Union	1	0–1	1974
Betty Stöve Category:Articles with hCards	Netherlands	1	0–1	1977
Andrea Jaeger Category:Articles with hCards	United States	1	0–1	1983
Zina Garrison Category:Articles with hCards	United States	1	0–1	1990
Gabriela Sabatini Category:Articles with hCards	Argentina	1	0–1	1991
Monica Seles Category:Articles with hCards	Yugoslavia [C ]	1	0–1	1992
Nathalie Tauziat Category:Articles with hCards	France	1	0–1	1998
Vera Zvonareva Category:Articles with hCards	Russia	1	0–1	2010
