Date	Visitor	Score	Home	Decision	Attendance	Record
April 1	Philadelphia	2 – 3	Pittsburgh	Hextall	17,181	17–13–4
April 2	NY Rangers	2 – 4	Philadelphia	Hextall	17,380	18–13–4
April 6	Tampa Bay	4 – 5	Philadelphia	Hextall	17,245	19–13–4
April 8	Philadelphia	3 – 1	Washington	Hextall	18,130	20–13–4
April 12	Montreal	2 – 3	Philadelphia	Hextall	17,380	21–13–4
April 14	Tampa Bay	2 – 3	Philadelphia	Roussel	17,380	22–13–4
April 16	Pittsburgh	3 – 4	Philadelphia	Hextall	17,380	23–13–4
April 18	Philadelphia	3 – 1	Florida	Hextall	14,703	24–13–4
April 20	NY Islanders	1 – 2	Philadelphia	Hextall	17,380	25–13–4
April 22	Philadelphia	4 – 3	New Jersey	Roussel	19,040	26–13–4
April 23	Philadelphia	2 – 4	Buffalo	Hextall	16,230	26–14–4
April 26	Ottawa	5 – 2	Philadelphia	Hextall	17,380	26–15–4
April 28	Philadelphia	4 – 3	Hartford	Hextall	15,550	27–15–4
April 30	NY Rangers	2 – 0	Philadelphia	Roussel	17,380	27–16–4
