Champion	Score	Runner-up	Additional participants	Host location(s)
Cornwall Royals (QMJHL)	2–1	Peterborough Petes (OHA)	Edmonton Oil Kings (WCHL)	Ottawa
Toronto Marlboros (OHA)	9–1	Quebec Remparts (QMJHL)	Medicine Hat Tigers (WCHL)	Montreal
Regina Pats (WCHL)	7–4	Quebec Remparts (QMJHL)	St. Catharines Black Hawks (OHA)	Calgary
Toronto Marlboros (OHA)	7–3	New Westminster Bruins (WCHL)	Sherbrooke Castors (QMJHL)	Kitchener
Hamilton Fincups (OHA)	5–2	New Westminster Bruins (WCHL)	Quebec Remparts (QMJHL)	Montreal
New Westminster Bruins (WCHL)	6–5	Ottawa 67's (OHA)	Sherbrooke Castors (QMJHL)	Vancouver
New Westminster Bruins (WHL)	7–4	Peterborough Petes (OHA)	Trois-Rivières Draveurs (QMJHL)	Sudbury and Sault Ste. Marie
Peterborough Petes (OHA)	2–1 (OT)	Brandon Wheat Kings (WHL)	Trois-Rivières Draveurs (QMJHL)	Sherbrooke , Trois-Rivières and Verdun
Cornwall Royals (QMJHL)	3–2 (OT)	Peterborough Petes (OHA)	Regina Pats (WHL)	Brandon and Regina
Cornwall Royals (QMJHL)	5–2	Kitchener Rangers (OHL)	Victoria Cougars (WHL)	Windsor
Kitchener Rangers (OHL)	7–4	Sherbrooke Castors (QMJHL)	Portland Winter Hawks (WHL)	Hull
