Cost	2400 kWh/kWp•y	2200 kWh/kWp•y	2000 kWh/kWp•y	1800 kWh/kWp•y	1600 kWh/kWp•y	1400 kWh/kWp•y	1200 kWh/kWp•y	1000 kWh/kWp•y	800 kWh/kWp•y
200 $/kWp	0.8	0.9	1.0	1.1	1.3	1.4	1.7	2.0	2.5
600 $/kWp	2.5	2.7	3.0	3.3	3.8	4.3	5.0	6.0	7.5
1000 $/kWp	4.2	4.5	5.0	5.6	6.3	7.1	8.3	10.0	12.5
1400 $/kWp	5.8	6.4	7.0	7.8	8.8	10.0	11.7	14.0	17.5
1800 $/kWp	7.5	8.2	9.0	10.0	11.3	12.9	15.0	18.0	22.5
2200 $/kWp	9.2	10.0	11.0	12.2	13.8	15.7	18.3	22.0	27.5
2600 $/kWp	10.8	11.8	13.0	14.4	16.3	18.6	21.7	26.0	32.5
3000 $/kWp	12.5	13.6	15.0	16.7	18.8	21.4	25.0	30.0	37.5
3400 $/kWp	14.2	15.5	17.0	18.9	21.3	24.3	28.3	34.0	42.5
3800 $/kWp	15.8	17.3	19.0	21.1	23.8	27.1	31.7	38.0	47.5
4200 $/kWp	17.5	19.1	21.0	23.3	26.3	30.0	35.0	42.0	52.5
4600 $/kWp	19.2	20.9	23.0	25.6	28.8	32.9	38.3	46.0	57.5
