Competition	Round	Date and time	Opponent team	Result
Supercoppa Italiana	Final	August 24, 2008 – 20.45	Inter	2–2 (8–7) pen.
Serie A	1 A	August 31, 2008 – 15.00	Napoli	1–1
Serie A	2 A	September 13, 2008 – 18.00	Palermo	3–1
Champions League	Group A - Match 1	September 16, 2008 – 20.45	CFR Cluj	1–2
Serie A	3 A	September 20, 2008 – 20.30	Reggina	3–0
Serie A	4 A	September 24, 2008 – 20.30	Genoa	3–1
Serie A	5 A	September 28, 2008 – 15.00	Atalanta	2–0
Champions League	Group A - Match 2	October 1, 2008 – 20.45	Bordeaux	1–3
Serie A	6 A	October 5, 2008 – 15.00	Siena	1–0
Serie A	7 A	October 19, 2008 – 20.30	Inter	0–4
Champions League	Group A - Match 3	October 22, 2008 – 20.45	Chelsea	1–0
Serie A	8 A	October 26, 2008 – 15.00	Udinese	3–1
Serie A	9 A	October 26, 2008 – 20.30	Sampdoria	N/A
Serie A	10 A	November 1, 2008 – 20.30	Juventus	2–0
Champions League	Group A - Match 4	November 4, 2008 – 20.45	Chelsea	3–1
Serie A	11 A	November 8, 2008 – 20.30	Bologna	1–1
Serie A	12 A	November 16, 2008 – 20.30	Lazio	1–0
Serie A	13 A	November 23, 2008 – 15.00	Lecce	0–3
Champions League	Group A - Match 5	November 26, 2008 – 20.45	CFR Cluj	1–3
Serie A	14 A	November 30, 2008 – 18.00	Fiorentina	1–0
Serie A	15 A	December 6, 2008 – 18.00	Chievo Verona	0–1
Champions League	Group A - Match 6	December 9, 2008 – 20.45	Bordeaux	2-0
Serie A	16 A	December 14, 2008 – 15.00	Cagliari	3-2
Coppa Italia	Round of 16	December 18, 2008 – 21.00	Bologna	2-0
Serie A	17 A	December 21, 2008 – 15.00	Catania	3-2
Serie A	18 A	January 11, 2009 – 15.00	A.C. Milan	2-2
Serie A	9 A	January 14, 2009 – 20.30	UC Sampdoria	2-0
Serie A	19 A	January 18, 2009 – 15.00	Torino	0-1
Coppa Italia	Quarterfinal	January 21, 2009 – 21.00	Inter	2-1
Serie A	1 R	January 25, 2009 – 15.00	Napoli	0-3
Serie A	2 R	January 28, 2009 – 20.30	Palermo	2-1
Serie A	3 R	February 1, 2009 – 15.15	Reggina	2-2
Serie A	4 R	February 8, 2009 – 15.00	Genoa	3-0
Serie A	5 R	February 15, 2009 – 15.00	Atalanta	3-0
Serie A	6 R	February 21, 2009 – 18.00	Siena	1-0
Champions League	First knockout round - 1st leg	February 24, 2009 – 20.45	Arsenal	1-0
Serie A	7 R	March 1, 2009 – 20.30	Inter	3-3
Serie A	8 R	March 7, 2009 – 16.00	Udinese	1-1
Champions League	First knockout round - 2nd leg	March 11, 2009 – 20.45	Arsenal	1-0 (6-7)
