Res.	Record	Opponent	Method	Round	Time	Location
Loss	8–5	Matt Lindland	Submission (guillotine choke)	1	3:38	California , United States
Loss	8–4	Jorge Oliveira	Submission (triangle choke)	1	4:02	Idaho , United States
Loss	8–3	Renato Sobral	Submission (rear naked choke)	1	2:21	Nevada , United States
Loss	8–2	Randy Couture	Submission (anaconda choke)	3	0:52	Nevada , United States
Win	8–1	John Marsh	Decision (unanimous)	3	5:00	Nevada , United States
Win	7–1	Emanuel Newton	Submission (kimura)	1	1:35	Mexico
Win	6–1	Mario Lopez	Submission (crucifix)	1	0:28	Mexico
Win	5–1	Chris Haseman	TKO (strikes)	2	3:10	Nevada , United States
Loss	4–1	Wanderlei Silva	KO (punch and kick)	1	4:00	Brazil
Win	4–0	Joe Pardo	Submission (armlock)	1	11:01	Alabama , United States
Win	3–0	Dario Amorim	Submission (shoulder injury)	1	2:42	Brazil
Win	2–0	Marcelo Barbosa	Submission (punches)	1	3:36	Brazil
Win	1–0	Francisco Nonato	Submission (keylock)	1	5:42	Brazil
