Date	Visitor	Score	Home	Decision	Attendance	Record
October 3	Anaheim	2 – 3	Detroit	Hasek	17,610	1–0–0
October 6	Detroit	3 – 4	Chicago	Hasek	18,768	1–0–1
October 8	Edmonton	2 – 4	Detroit	Hasek	16,913	2–0–1
October 10	Calgary	2 – 4	Detroit	Osgood	16,629	3–0–1
October 12	Chicago	3 – 2	Detroit	Hasek	17,696	3–1–1
October 14	Detroit	4 – 1	Los Angeles	Osgood	17,215	4–1–1
October 15	Detroit	3 – 6	Anaheim	Hasek	17,174	4–2–1
October 18	Detroit	4 – 2	San Jose	Osgood	17,496	5–2–1
October 20	Detroit	5 – 2	Phoenix	Hasek	14,154	6–2–1
October 24	Vancouver	2 – 3	Detroit	Hasek	17,015	7–2–1
October 26	San Jose	1 – 5	Detroit	Osgood	18,289	8–2–1
October 28	Detroit	3 – 2	Vancouver	Osgood	18,630	9–2–1
October 30	Detroit	2 – 1	Edmonton	Osgood	16,839	10–2–1
