Contestant	Starting Weight (kg)	Final Weight (kg)	Weight Lost (kg)	Percentage Lost	Position (out of Eliminated Contestants)
Sean	132.5	84.8	47.7	36.00%	1st
Ben	153.1	98.2	54.9	35.86%	2nd
Stewart	136.4	88.0	48.4	35.48%	3rd
Julie	123.4	79.8	43.6	35.33%	4th
Cameron	164.1	107.5	56.6	34.49%	5th
Teresa	115.0	76.0	39.0	33.91%	6th
Amanda	170.4	113.6	56.8	33.33%	7th
Meaghan	109.6	73.2	36.4	33.21%	8th
Nathan	145.2	98.3	46.9	32.30%	9th
Andrew	144.2	99.5	44.7	31.00%	10th
Jodi	121.5	87.5	34.0	27.98%	11th
Holly	108.2	82.3	25.9	23.94%	12th
Mel	102.0	80.3	21.7	21.27%	13th
Ramses	137.9	109.4	28.5	20.67%	14th
Jeda	106.3	85.0	21.3	20.04%	15th
Tania	135.7	117.2	18.5	13.63%	16th
