State	Abbr.	Capital	Largest city	Statehood	Population est. (2012)	House seat(s)
Alabama	AL	Montgomery	Birmingham	December 14, 1819	4,822,023	7
Alaska	AK	Juneau	Anchorage	January 3, 1959	731,449	1
Arizona	AZ	Phoenix	Phoenix	February 14, 1912	6,553,255	9
Arkansas	AR	Little Rock	Little Rock	June 15, 1836	2,949,131	4
California	CA	Sacramento	Los Angeles	September 9, 1850	38,041,430	53
Colorado	CO	Denver	Denver	August 1, 1876	5,187,582	7
Connecticut	CT	Hartford	Bridgeport	January 9, 1788	3,590,347	5
Delaware	DE	Dover	Wilmington	December 7, 1787	917,092	1
Florida	FL	Tallahassee	Jacksonville	March 3, 1845	19,317,568	27
Georgia	GA	Atlanta	Atlanta	January 2, 1788	9,919,945	14
Hawaii	HI	Honolulu	Honolulu	August 21, 1959	1,392,313	2
Idaho	ID	Boise	Boise	July 3, 1890	1,595,728	2
Illinois	IL	Springfield	Chicago	December 3, 1818	12,875,255	18
Indiana	IN	Indianapolis	Indianapolis	December 11, 1816	6,537,334	9
Iowa	IA	Des Moines	Des Moines	December 28, 1846	3,078,186	4
Kansas	KS	Topeka	Wichita	January 29, 1861	2,885,905	4
Kentucky	KY	Frankfort	Louisville	June 1, 1792	4,380,415	6
Louisiana	LA	Baton Rouge	New Orleans	April 30, 1812	4,601,893	6
Maine	ME	Augusta	Portland	March 15, 1820	1,329,192	2
Maryland	MD	Annapolis	Baltimore	April 28, 1788	5,884,563	8
Massachusetts	MA	Boston	Boston	February 6, 1788	6,646,144	9
Michigan	MI	Lansing	Detroit	January 26, 1837	9,883,360	14
Minnesota	MN	St. Paul	Minneapolis	May 11, 1858	5,379,139	8
Mississippi	MS	Jackson	Jackson	December 10, 1817	2,984,926	4
Missouri	MO	Jefferson City	Kansas City	August 10, 1821	6,021,988	8
Montana	MT	Helena	Billings	November 8, 1889	1,005,141	1
Nebraska	NE	Lincoln	Omaha	March 1, 1867	1,855,525	3
Nevada	NV	Carson City	Las Vegas	October 31, 1864	2,758,931	4
New Hampshire	NH	Concord	Manchester	June 21, 1788	1,320,718	2
New Jersey	NJ	Trenton	Newark	December 18, 1787	8,864,590	12
New Mexico	NM	Santa Fe	Albuquerque	January 6, 1912	2,085,538	3
New York	NY	Albany	New York	July 26, 1788	19,570,261	27
North Carolina	NC	Raleigh	Charlotte	November 21, 1789	9,752,073	13
North Dakota	ND	Bismarck	Fargo	November 2, 1889	699,628	1
Ohio	OH	Columbus	Columbus	March 1, 1803	11,544,225	16
Oklahoma	OK	Oklahoma City	Oklahoma City	November 16, 1907	3,814,820	5
Oregon	OR	Salem	Portland	February 14, 1859	3,899,353	5
Pennsylvania	PA	Harrisburg	Philadelphia	December 12, 1787	12,763,536	18
Rhode Island	RI	Providence	Providence	May 29, 1790	1,050,292	2
South Carolina	SC	Columbia	Columbia	May 23, 1788	4,723,723	7
South Dakota	SD	Pierre	Sioux Falls	November 2, 1889	833,354	1
Tennessee	TN	Nashville	Memphis	June 1, 1796	6,456,243	9
Texas	TX	Austin	Houston	December 29, 1845	26,059,203	36
Utah	UT	Salt Lake City	Salt Lake City	January 4, 1896	2,855,287	4
Vermont	VT	Montpelier	Burlington	March 4, 1791	626,011	1
Virginia	VA	Richmond	Virginia Beach	June 25, 1788	8,185,867	11
Washington	WA	Olympia	Seattle	November 11, 1889	6,897,012	10
West Virginia	WV	Charleston	Charleston	June 20, 1863	1,855,413	3
Wisconsin	WI	Madison	Milwaukee	May 29, 1848	5,726,398	8
Wyoming	WY	Cheyenne	Cheyenne	July 10, 1890	576,412	1
