Year	Venue	Winners	Runner-up	3rd place
1998	Bydgoszcz	Polonia Bydgoszcz	Olymp Prague	Lukoil Oktriabskij
1999	Diedenbergen	Polonia Bydgoszcz	MSC Diedenbergen	Mega-Lada Togliatti
2000	Piła	Polonia Piła	Lukoil Oktriabskij	AC Landshut
2001	Daugavpils	Polonia Bydgoszcz	Lukoil Oktriabskij	Lokomotiv Daugavpils
2002	Pardubice	Mega-Lada Togliatti	Zlata Prilba Pardubice	Apator Toruń
2003	Debrecen	Mega-Lada Togliatti	Hajdu Volan Debrecen	AMTK Ljubljana
2004	Ljubljana	Włókniarz Częstochowa	Mega-Lada Togliatti	AMTK Ljubljana
2005	Tolyatti	Mega-Lada Togliatti	Speedway Centr Daugavpils	Russian Reserve Team
2006	Tarnów	Unia Tarnów	Mega-Lada Togliatti	Simon&Wolf Debrecen
2007	Miskolc	Speedway Miskolc	Atlas Wrocław	Mega-Lada Togliatti
2008	Slaný	Mega-Lada Togliatti	Simon&Wolf Debrecen	AK Slaný
2009	Toruń	Kaskad Rivne	Unibax Toruń	Vostok Vladivostok
2010	Miskolc	SK Turbina Balakovo	Speedway Miskolc	Falubaz Zielona Góra
Year	Venue	Winners	Runner-up	3rd place
